method,identifiability,noise,count,exact_source_rate,median_support_f1,median_coefficient_rel_l1,dyadic_valid_rate,forecast_success_rate,median_forecast_nrmse,p90_forecast_nrmse,median_runtime_ms
constraint_integer,nonidentifiable,0,38796,0.44991751726982165,1.0,0.1111111111111111,1.0,0.6327198680276317,0.00010132466615,1.38903171576,10.6247690001
constraint_integer,nonidentifiable,0.001,38796,0.22109658959090558,0.8666666666666667,0.32098765432098764,1.0,0.5308279204041654,0.0634918174493,1.27890111127,33.436771
constraint_integer,nonidentifiable,1e-05,38796,0.33545691367259034,1.0,0.13636363636363635,1.0,0.6120991854830395,0.00811320990789,1.27821571363,29.167221
constraint_integer,nonidentifiable,1e-08,38796,0.41071244458191564,1.0,0.1875,1.0,0.6123053923084855,0.000569403200289,1.38299042294,15.669605
constraint_integer,overdetermined,0,116388,1.0,1.0,0.0,1.0,1.0,0.0,0.0,10.501979
constraint_integer,overdetermined,0.001,116388,0.4996133622022889,1.0,5.722034984521895e-06,1.0,0.9999914080489397,0.0,0.0022487991014,29.636118
constraint_integer,overdetermined,1e-05,116388,0.781858954531395,1.0,0.0,1.0,1.0,0.0,1.16416425126e-05,22.668167
constraint_integer,overdetermined,1e-08,116388,0.9999398563425783,1.0,0.0,1.0,0.9999914080489397,0.0,0.0,13.574791
constraint_integer,sharp_boundary,0,38796,1.0,1.0,0.0,1.0,1.0,0.0,0.0,10.326041
constraint_integer,sharp_boundary,0.001,38796,0.3855809877306939,1.0,0.0014641288433382138,1.0,0.9417723476647077,0.000233467062111,0.00815366306063,29.796456
constraint_integer,sharp_boundary,1e-05,38796,0.7014166645162955,1.0,0.0,1.0,0.9955665532529127,0.0,2.22871299954e-05,24.725205
constraint_integer,sharp_boundary,1e-08,38796,0.9997937931745541,1.0,0.0,1.0,1.0,0.0,0.0,11.8995
continuous_round,nonidentifiable,0,38796,0.001546551190844417,0.8888888888888888,1.2848715117044225,0.00726879059696876,0.3098257552324982,0.511640456191,1.36066368814,2.45224600002
continuous_round,nonidentifiable,0.001,38796,0.0002577585318074028,0.8,1.206390380859375,0.003041550675327353,0.30990308279204043,0.511640456191,1.36059832699,2.64656700006
continuous_round,nonidentifiable,1e-05,38796,0.0010310341272296113,0.8888888888888888,1.272157149968815,0.0064697391483658105,0.3098257552324982,0.511640456191,1.36066261474,2.64019199994
continuous_round,nonidentifiable,1e-08,38796,0.0014949994844829363,0.8888888888888888,1.2648391723632812,0.007371894009691721,0.3098257552324982,0.511640456191,1.36066338694,2.62666099997
continuous_round,overdetermined,0,116388,0.8449840189710279,1.0,0.0,0.8498384713200674,1.0,0.0,2.58466424089e-11,2.69231699997
continuous_round,overdetermined,0.001,116388,0.2295511564766127,1.0,0.0038471148545935543,0.2798484379832972,1.0,0.000270188814096,0.00184952882174,2.794716
continuous_round,overdetermined,1e-05,116388,0.5906536756366636,1.0,0.0,0.6156047015156202,1.0,0.0,1.14543489673e-05,2.78828399996
continuous_round,overdetermined,1e-08,116388,0.8445544214180156,1.0,0.0,0.8495463449840189,1.0,0.0,2.58466424089e-11,2.74810799999
continuous_round,sharp_boundary,0,38796,0.023456026394473656,1.0,0.9689922480620154,0.025260336117125477,0.49811836271780596,0.102706756123,0.999492474943,2.54902600001
continuous_round,sharp_boundary,0.001,38796,0.005567584287039901,1.0,0.9137599560560286,0.01188266831632127,0.498015259305083,0.102477667413,0.999269853105,2.68530599999
continuous_round,sharp_boundary,1e-05,38796,0.016831632127023405,1.0,0.9560546875,0.020569130838230747,0.49804103515826376,0.102706756123,0.999492474943,2.65436999996
continuous_round,sharp_boundary,1e-08,38796,0.024177750283534385,1.0,0.9560546875,0.025956284153005466,0.49804103515826376,0.102706756123,0.999492474943,2.65336399997
matrix_pencil_6,nonidentifiable,0,38796,,,,,0.19063821012475513,0.769107758357,1.0319383666,0.431187999993
matrix_pencil_6,nonidentifiable,0.001,38796,,,,,0.19071553768429736,0.775576436286,1.0322510101,0.480566000022
matrix_pencil_6,nonidentifiable,1e-05,38796,,,,,0.19063821012475513,0.76910796396,1.03194154384,0.479968000036
matrix_pencil_6,nonidentifiable,1e-08,38796,,,,,0.19063821012475513,0.769107746581,1.03193836956,0.479027000011
matrix_pencil_6,overdetermined,0,116388,,,,,0.2221620785648005,0.40348460143,0.813062594038,0.629570000001
matrix_pencil_6,overdetermined,0.001,116388,,,,,0.22218785441798122,0.40348460143,0.813062594008,0.746193999987
matrix_pencil_6,overdetermined,1e-05,116388,,,,,0.2221620785648005,0.40348460143,0.813062594037,0.740344000008
matrix_pencil_6,overdetermined,1e-08,116388,,,,,0.2221620785648005,0.40348460143,0.813062594038,0.74004399994
matrix_pencil_6,sharp_boundary,0,38796,,,,,0.1972626043922054,0.494549946235,1.05279405095,0.436447999959
matrix_pencil_6,sharp_boundary,0.001,38796,,,,,0.1972626043922054,0.494549946235,1.05272764074,0.484561000007
matrix_pencil_6,sharp_boundary,1e-05,38796,,,,,0.1972626043922054,0.494549946235,1.05279340131,0.483261999989
matrix_pencil_6,sharp_boundary,1e-08,38796,,,,,0.1972626043922054,0.494549946235,1.05279405016,0.483618999993
