worker,schema_index,family,schema,max_lag,branch_count,window,window_start,regime,noise,true_radius,true_class,estimated_order,recovered_radius,recovered_class,radius_error,class_correct,forecast_nrmse,forecast_success,signal_rms
29,7641,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,0.001,0.998179730208,ringing,1,0.97166420164,alternating,0.0265155285679,0,1.01497002088,0,2.22385773556
1,8525,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,0.001,0.998179730208,ringing,1,0.971665486622,alternating,0.0265142435862,0,1.0149691198,0,2.22385773556
27,7154,finite_horizon,13:5460;14:4;15:10920,15,16384,24,15,post_lag,0.001,0.998233925134,ringing,1,0.971672504106,alternating,0.0265614210284,0,1.01495779183,0,2.22420659231
20,5726,finite_horizon,13:5461;14:1;15:10922,15,16384,24,15,post_lag,0.001,0.998261008331,ringing,1,0.971753043298,alternating,0.0265079650323,0,1.01495742775,0,2.22438121559
20,16283,finite_horizon,13:5451;14:31;15:10902,15,16384,24,15,post_lag,0.001,0.997989747623,ringing,1,0.971509510083,alternating,0.0264802375393,0,1.01495601993,0,2.22264079952
13,7816,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,0.001,0.998179730208,ringing,1,0.971683677112,alternating,0.0264960530957,0,1.01495141668,0,2.22385773556
24,3023,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,0.001,0.998071226023,ringing,1,0.971515313481,alternating,0.0265559125414,0,1.01494653715,0,2.22316157319
20,14565,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,0.001,0.998125497189,ringing,1,0.971584264401,alternating,0.0265412327885,0,1.01494615093,0,2.22350939663
19,5343,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,0.001,0.998206832429,ringing,1,0.971571151539,alternating,0.0266356808903,0,1.01494082015,0,2.22403209906
30,2678,finite_horizon,13:5461;14:1;15:10922,15,16384,24,15,post_lag,1e-05,0.998261008331,ringing,1,0.971722056501,alternating,0.0265389518291,0,1.01493599551,0,2.22438121559
20,5726,finite_horizon,13:5461;14:1;15:10922,15,16384,24,15,post_lag,1e-08,0.998261008331,ringing,1,0.971722673654,alternating,0.0265383346764,0,1.01493593489,0,2.22438121559
30,2678,finite_horizon,13:5461;14:1;15:10922,15,16384,24,15,post_lag,0,0.998261008331,ringing,1,0.971722674226,alternating,0.0265383341041,0,1.0149359348,0,2.22438121559
20,5726,finite_horizon,13:5461;14:1;15:10922,15,16384,24,15,post_lag,0,0.998261008331,ringing,1,0.971722674226,alternating,0.0265383341041,0,1.0149359348,0,2.22438121559
