family,regime,window,noise,count,class_accuracy,forecast_success_rate,median_radius_error,median_forecast_nrmse,p90_forecast_nrmse
finite_horizon,origin,24,0,144010,0.04746892576904382,0.12032497743212277,0.84138934814,0.466866007166,0.689531716595
finite_horizon,origin,24,0.001,144010,0.04746892576904382,0.12032497743212277,0.841219791355,0.466866007166,0.689531716595
finite_horizon,origin,24,1e-05,144010,0.04746892576904382,0.12032497743212277,0.84138956588,0.466866007166,0.689531716595
finite_horizon,origin,24,1e-08,144010,0.04746892576904382,0.12032497743212277,0.841389347297,0.466866007166,0.689531716595
finite_horizon,origin,48,0,144010,0.11321436011388097,0.2213249079925005,0.463416624718,0.40385196592,0.63879118282
finite_horizon,origin,48,0.001,144010,0.11397819595861398,0.22100548573015763,0.463415850962,0.40385196592,0.638791182812
finite_horizon,origin,48,1e-05,144010,0.11321436011388097,0.2213249079925005,0.463416519318,0.40385196592,0.63879118282
finite_horizon,origin,48,1e-08,144010,0.11321436011388097,0.2213249079925005,0.463416624817,0.40385196592,0.63879118282
finite_horizon,origin,96,0,144010,0.3167002291507534,0.35704464967710575,0.156252279231,0.184768091247,0.544880434952
finite_horizon,origin,96,0.001,144010,0.3022567877230748,0.35671828345253803,0.162264733882,0.182983678343,0.544885937416
finite_horizon,origin,96,1e-05,144010,0.3167002291507534,0.35704464967710575,0.158001969375,0.184768091247,0.544880434952
finite_horizon,origin,96,1e-08,144010,0.3167002291507534,0.35704464967710575,0.156252279291,0.184768091247,0.544880434952
finite_horizon,post_lag,24,0,144010,0.2569335462815082,0.19243108117491842,0.128002111434,0.60108754716,0.999939123943
finite_horizon,post_lag,24,0.001,144010,0.2569543781681828,0.19243108117491842,0.128054976647,0.601214981138,0.999939113489
finite_horizon,post_lag,24,1e-05,144010,0.2569335462815082,0.19243108117491842,0.128003693595,0.601087544099,0.999939124634
finite_horizon,post_lag,24,1e-08,144010,0.2569335462815082,0.19243108117491842,0.128002110502,0.601087547138,0.999939123941
finite_horizon,post_lag,48,0,144010,0.4341295743351156,0.30496493299076455,0.0735976608788,0.308101136052,0.799935372888
finite_horizon,post_lag,48,0.001,144010,0.42033886535657244,0.3050413165752378,0.0747912050146,0.308819171281,0.799789143041
finite_horizon,post_lag,48,1e-05,144010,0.43411568641066595,0.30496493299076455,0.0735976871246,0.308102820663,0.799935391622
finite_horizon,post_lag,48,1e-08,144010,0.4341295743351156,0.30496493299076455,0.0735976609513,0.308101137338,0.799935372855
finite_horizon,post_lag,96,0,144010,0.7580376362752587,0.42658148739670854,0.00382660575965,0.131247775977,0.37254042251
finite_horizon,post_lag,96,0.001,144010,0.7086938407055066,0.4262967849454899,0.00453634048648,0.13111786177,0.372432873608
finite_horizon,post_lag,96,1e-05,144010,0.7441011040899937,0.42658148739670854,0.00411337232665,0.131248932114,0.37254042229
finite_horizon,post_lag,96,1e-08,144010,0.7580376362752587,0.42658148739670854,0.00382660567796,0.131247776397,0.37254042251
immediate,origin,24,0,17243,1.0,1.0,1.78097786518e-09,1.92727217491e-14,1.92727217491e-14
immediate,origin,24,0.001,17243,1.0,1.0,0.0971693751483,3.87003016452e-08,3.87048874728e-08
immediate,origin,24,1e-05,17243,1.0,1.0,0.0971701560311,3.87003036846e-08,3.8700349079e-08
immediate,origin,24,1e-08,17243,1.0,1.0,0.000180973217856,2.24217596013e-10,2.24480262204e-10
immediate,origin,48,0,17243,1.0,1.0,0.0971701371937,4.81949824713e-14,4.81949824713e-14
immediate,origin,48,0.001,17243,1.0,1.0,0.0971684246659,4.81949824671e-14,4.81949828296e-14
immediate,origin,48,1e-05,17243,1.0,1.0,0.0971701379632,4.81949824713e-14,4.81949824748e-14
immediate,origin,48,1e-08,17243,1.0,1.0,0.0971701371772,4.81949824713e-14,4.81949824713e-14
immediate,origin,96,0,17243,1.0,1.0,0.0971701371937,1.04094367199e-13,1.04094367199e-13
immediate,origin,96,0.001,17243,1.0,1.0,0.0971714557372,1.04094367199e-13,1.04094367199e-13
immediate,origin,96,1e-05,17243,1.0,1.0,0.0971701412805,1.04094367199e-13,1.04094367199e-13
immediate,origin,96,1e-08,17243,1.0,1.0,0.0971701372008,1.04094367199e-13,1.04094367199e-13
immediate,post_lag,24,0,17243,1.0,1.0,6.75855234555e-08,1.07133363357e-13,1.07133363357e-13
immediate,post_lag,24,0.001,17243,1.0,1.0,0.0401824100414,4.17557517549e-08,4.18450060629e-08
immediate,post_lag,24,1e-05,17243,1.0,1.0,0.0401827177907,4.17560259999e-08,4.17569054827e-08
immediate,post_lag,24,1e-08,17243,1.0,1.0,2.1871391255e-05,3.40869289428e-11,3.4351231591e-11
