"replicate","arm","round","delta_quality","signed_normalized_kernel"
"0","anchored","1","0.0128282282032846","0.0902292363980544"
"0","anchored","2","-0.0804401674995781","-0.565787790348176"
"0","anchored","3","-0.0392335095670664","-0.275954680050498"
"0","anchored","4","-0.0463328887009857","-0.325889210992956"
"0","anchored","5","0.0484789635800673","0.340983945396184"
"0","anchored","6","-0.0474847846811606","-0.333991241378926"
"0","anchored","7","0.0260877530814045","0.183492061614045"
"0","anchored","8","-0.0310395738449231","-0.218321423798132"
"0","anchored","9","-0.0334830649347188","-0.235508079015355"
"0","anchored","10","0.0484453020669813","0.340747182175759"
"1","anchored","1","0.100774955143498","0.721738048898469"
"1","anchored","2","-0.033568329583391","-0.240412319348579"
"1","anchored","3","0.0409702956532576","0.293424305726258"
"1","anchored","4","-0.0461180751702426","-0.33029208045717"
"1","anchored","5","-0.000587402315579855","-0.00420690438970046"
"1","anchored","6","-0.0462207579193437","-0.331027481895813"
"1","anchored","7","-0.119588170502327","-0.856476023499928"
"1","anchored","8","-0.0224301511773104","-0.160642031784166"
"1","anchored","9","-0.00932885209114409","-0.0668121111752156"
"1","anchored","10","-0.00353167116980946","-0.0252934020741533"
"2","anchored","1","-0.0374228615685537","-0.293413865840202"
"2","anchored","2","0.100926848172252","0.791316736563286"
"2","anchored","3","-0.0252851717305904","-0.198248334706187"
"2","anchored","4","-0.0503129391014705","-0.394478491082307"
"2","anchored","5","-0.00275319759154113","-0.0215864398096919"
"2","anchored","6","-0.0448563187023433","-0.351695870549735"
"2","anchored","7","-0.0242112449038597","-0.189828213725237"
"2","anchored","8","-0.0210562377574767","-0.16509138696286"
"2","anchored","9","-0.0246958942489076","-0.193628105875305"
"2","anchored","10","0.00212409623688958","0.0166539719882379"
"3","anchored","1","-0.0263941519754142","-0.215912719509091"
"3","anchored","2","0.0188002108043585","0.153791818956499"
"3","anchored","3","-8.92483009495848E-05","-0.000730080033923434"
"3","anchored","4","0.0380130222445576","0.310958844869393"
"3","anchored","5","0.0129919004946559","0.10627795770842"
"3","anchored","6","-0.0191275467915272","-0.156469533446005"
"3","anchored","7","-0.0671989001711977","-0.549708787670021"
"3","anchored","8","-0.0399411597279807","-0.326731634539661"
"3","anchored","9","-0.0680773683595737","-0.556894942229226"
"3","anchored","10","0.0287786976199244","0.235419075893616"
"4","anchored","1","-0.0359889206177759","-0.238727294562496"
"4","anchored","2","0.0324737991654594","0.215410245316078"
"4","anchored","3","0.00330260438578323","0.0219073480530795"
"4","anchored","4","-0.000858317897815208","-0.00569352751076358"
"4","anchored","5","-0.0262110394217067","-0.173867135257297"
"4","anchored","6","-0.0222117838879708","-0.147338652673096"
"4","anchored","7","-0.0249986429925979","-0.165824879071503"
"4","anchored","8","-0.00491460549183609","-0.0326003240099542"
"4","anchored","9","-0.0265651111664396","-0.17621581891466"
"4","anchored","10","-0.0447812534332459","-0.297049961369388"
"5","anchored","1","-0.0509927603973868","-1.04574140570772"
"5","anchored","2","0.11151433286638","2.28689630252342"
"5","anchored","3","0.0399610298839983","0.819506597382831"
"5","anchored","4","0.0213718908737512","0.438287141758536"
"5","anchored","5","-0.0452966070396188","-0.928926717248837"
"5","anchored","6","-0.0446002360262094","-0.914645788019241"
"5","anchored","7","-0.0207656337808948","-0.425854236782157"
"5","anchored","8","0.0829150236382501","1.70039183401798"
"5","anchored","9","-0.129041104331945","-2.64632910214211"
"5","anchored","10","-0.0138282397502791","-0.283584625782708"
"6","anchored","1","0.00103498614808306","0.00465372179301209"
"6","anchored","2","0.00646533692107543","0.0290708038793576"
"6","anchored","3","-0.0740579595438779","-0.332994930331854"
"6","anchored","4","-0.101687423152329","-0.457228319505254"
"6","anchored","5","0.0144084963297687","0.0647865031803286"
"6","anchored","6","0.0167352933328262","0.0752487358789008"
"6","anchored","7","-0.0532246262105446","-0.239319727495576"
"6","anchored","8","-0.015625","-0.0702564021272083"
"6","anchored","9","0.0165361463252546","0.0743532893351323"
"6","anchored","10","-0.0329849109200885","-0.14831367460684"
"7","anchored","1","-0.017863493859418","-0.0967772837364787"
"7","anchored","2","-0.0758500862670718","-0.410925509750418"
"7","anchored","3","-0.0487991538311457","-0.264374348802263"
"7","anchored","4","-0.0249010236637049","-0.134903812848494"
"7","anchored","5","-0.00259893787714616","-0.014080008666247"
"7","anchored","6","0","0"
"7","anchored","7","-0.00648496092623196","-0.0351329313580527"
"7","anchored","8","-0.00852219069632965","-0.0461698295734149"
"7","anchored","9","0.0159120822205188","0.0862053139219146"
"7","anchored","10","-0.0154757775355208","-0.0838415891865463"
"8","anchored","1","-0.0175966855183052","-0.216560401927188"
"8","anchored","2","0.0832429131079451","1.02446103850033"
"8","anchored","3","-0.0112221561370427","-0.138109795790776"
"8","anchored","4","0.0353472446023351","0.435014508279829"
"8","anchored","5","-0.0432178018192948","-0.531876558381403"
"8","anchored","6","0.00397340477950636","0.0489002394896573"
"8","anchored","7","-0.00685754971106856","-0.0843950822511326"
"8","anchored","8","-0.0723969639035253","-0.890981178526263"
"8","anchored","9","0.00179676024972075","0.0221125234886733"
"8","anchored","10","-0.0543244891614523","-0.668565292881723"
"9","anchored","1","-0.00846338845723871","-0.0672648290173133"
"9","anchored","2","-0.0392188264201023","-0.311701119089194"
"9","anchored","3","-0.0598794751554452","-0.475906627508339"
"9","anchored","4","-0.0277392659233497","-0.220464532477418"
"9","anchored","5","-0.0139007885745981","-0.110479883016173"
"9","anchored","6","0.0212516430284166","0.168902578661716"
"9","anchored","7","-0.0262034637919351","-0.208258373171841"
"9","anchored","8","0.030300278500589","0.240818800036985"
"9","anchored","9","0.002652319787112","0.0210799537183873"
"9","anchored","10","-0.00462093101775363","-0.0367259681368103"
"10","anchored","1","0.0857122167330726","1.12950079505957"
"10","anchored","2","0.0176656599398486","0.232795016951321"
"10","anchored","3","-0.0123778860103571","-0.163113644970757"
"10","anchored","4","-0.0198011055456744","-0.260935550489244"
"10","anchored","5","-0.0293599375756214","-0.386900188777499"
"10","anchored","6","-0.0775479316746157","-1.02191325601204"
"10","anchored","7","-0.0579207680213181","-0.763269881751831"
"10","anchored","8","0","0"
"10","anchored","9","0","0"
"10","anchored","10","0.0177447088612234","0.233836709990477"
"11","anchored","1","-0.0592099702750062","-0.277571467338726"
"11","anchored","2","0.0418177642972486","0.196038237190469"
"11","anchored","3","-0.05712257404617","-0.267785925622284"
"11","anchored","4","-0.024607225600777","-0.115356648304651"
"11","anchored","5","0.0257748844958463","0.120830537099902"
"11","anchored","6","-0.00634952981882153","-0.0297660731889483"
"11","anchored","7","-0.0622104055699179","-0.291637261048727"
"11","anchored","8","-0.0513941080560145","-0.240931348545108"
"11","anchored","9","0.00212050425939547","0.00994074943872886"
"11","anchored","10","-0.0221336649753889","-0.103760799680655"
"12","anchored","1","-0.049504911251239","-0.227186974926025"
"12","anchored","2","-0.0773070856279724","-0.354776172308089"
"12","anchored","3","0.0153568961456034","0.0704755688151134"
"12","anchored","4","0.00249668502172629","0.0114577382949033"
"12","anchored","5","-0.00245952311745845","-0.0112871956073253"
"12","anchored","6","-0.0396673020425009","-0.182040410269136"
"12","anchored","7","0.0079082987740462","0.0362926107708512"
"12","anchored","8","-0.0753070449592647","-0.34559762460912"
"12","anchored","9","-0.0114148030475585","-0.0523845919163481"
"12","anchored","10","0.0119949632353249","0.055047051755176"
"13","anchored","1","-0.0316288513266056","-0.302181547156527"
"13","anchored","2","0.0106358293541784","0.101614546046916"
"13","anchored","3","0.0366727169703954","0.350370560034397"
"13","anchored","4","0.0151358668875627","0.144607833727796"
"13","anchored","5","0.0417504946384911","0.39888356785809"
"13","anchored","6","-0.0397917875043641","-0.380170110764592"
"13","anchored","7","-0.0220009922284027","-0.210197133051273"
"13","anchored","8","-0.0263842392833259","-0.252074606341357"
"13","anchored","9","-0.116421942381263","-1.11229340289525"
"13","anchored","10","0.0273645304334407","0.261440292541803"
"14","anchored","1","-0.122857478879515","-1.68950528714882"
"14","anchored","2","0.14071424830095","1.93506710905872"
"14","anchored","3","-0.0291263336567915","-0.400538047477506"
"14","anchored","4","-0.0205395091001132","-0.282454186237323"
"14","anchored","5","-0.00419453042926987","-0.0576821321908118"
"14","anchored","6","0.032424400907771","0.445892242506746"
"14","anchored","7","-0.0345484971446606","-0.475102282101952"
"14","anchored","8","-0.0273896711594456","-0.376655899658597"
"14","anchored","9","0.0222345961472327","0.305764598874835"
"14","anchored","10","-0.0294352447603646","-0.404786115625295"
"15","anchored","1","0.105746926197577","1.5107545046819"
"15","anchored","2","-0.0382726586792878","-0.546782715914175"
"15","anchored","3","-0.0446382315475471","-0.637724535515019"
"15","anchored","4","0.028854988180875","0.412237073400615"
"15","anchored","5","0.0655241131737765","0.936110889479812"
"15","anchored","6","-0.137860953154635","-1.96955186772018"
"15","anchored","7","-0.0460876552786762","-0.658431741953387"
"15","anchored","8","0.00668317792501072","0.0954792873783972"
"15","anchored","9","0.00465193056213842","0.0664598518834212"
"15","anchored","10","-0.0145977392408259","-0.20855074572139"
"0","guided","1","0.112526936648882","1.96062196910204"
"0","guided","2","0.00736655297952327","0.128351717716034"
"0","guided","3","-0.0307114424595821","-0.535103243563399"
"0","guided","4","0.00201469764537932","0.0351032435633986"
"0","guided","5","-0.0129699218524639","-0.22598245787872"
"0","guided","6","0","0"
"0","guided","7","0","0"
"0","guided","8","0","0"
"0","guided","9","-0.0208333333333333","-0.362991228939358"
"0","guided","10","0","0"
"1","guided","1","0.0956504497819887","0.765203598255909"
"1","guided","2","0.0166652653136444","0.133322122509155"
"1","guided","3","0.00301696743768631","0.0241357395014905"
"1","guided","4","0.00330303427946432","0.0264242742357146"
"1","guided","5","0.000503144450074378","0.00402515560059502"
"1","guided","6","-0.0278142929735494","-0.222514343788395"
"1","guided","7","0.0117421390347272","0.0939371122778176"
"1","guided","8","0.0213041913213126","0.1704335305705"
"1","guided","9","-0.0202042319786817","-0.161633855829454"
"1","guided","10","0.0208333333333333","0.166666666666666"
"2","guided","1","0.115351107416915","1.47628103968396"
"2","guided","2","0.00154383965740001","0.0197582950486491"
"2","guided","3","0.00413164814617861","0.0528774621885809"
"2","guided","4","-0.00694496966038693","-0.0888827793716188"
"2","guided","5","0.00593968754340479","0.0760170257428291"
"2","guided","6","-0.0221557933767187","-0.283553217768318"
"2","guided","7","0.00457208624259164","0.0585142560213352"
"2","guided","8","-0.00461737725915723","-0.0590938973487663"
"2","guided","9","-0.00318235654044863","-0.0407282836496602"
"2","guided","10","-0.0165015930222733","-0.211189900546987"
"3","guided","1","0.11163776896582","2.67930645517968"
"3","guided","2","-0.000496858501346287","-0.0119246040323109"
"3","guided","3","0.00875257916393213","0.210061899934371"
"3","guided","4","-0.0573934896284056","-1.37744375108174"
"3","guided","5","-0.00510651037159437","-0.122556248918265"
"3","guided","6","0.00510651037159437","0.122556248918265"
"3","guided","7","-0.00510651037159437","-0.122556248918265"
"3","guided","8","0","0"
"3","guided","9","0","0"
"3","guided","10","-0.015726822961739","-0.377443751081736"
"4","guided","1","0.106967563279223","6.80160026850052"
"4","guided","2","-0.0448365983054637","-2.85096350448814"
"4","guided","3","-0.000805769604919293","-0.0512353707344208"
"4","guided","4","-0.0394188803660862","-2.50647447752078"
"4","guided","5","0.0228100354573749","1.45039055331573"
"4","guided","6","0.0279698041500899","1.77847771403903"
"4","guided","7","-0.0617546344522915","-3.92670754942252"
"4","guided","8","-0.115411635062971","-7.33852192167172"
"4","guided","9","0","0"
"4","guided","10","0.120206937866782","7.64343428798231"
"5","guided","1","0.0938468239307209","0.750774591445767"
"5","guided","2","0.0220732609181784","0.176586087345427"
"5","guided","3","0.005897558610652","0.047180468885216"
"5","guided","4","0.00318235654044874","0.0254588523235899"
"5","guided","5","0","0"
"5","guided","6","-0.00242586160437241","-0.0194068928349793"
"5","guided","7","0.00242586160437241","0.0194068928349793"
"5","guided","8","-0.0208333333333333","-0.166666666666666"
"5","guided","9","0.0202042319786817","0.161633855829454"
"5","guided","10","0.000629101354651551","0.00503281083721241"
"6","guided","1","0.0904658204978124","1.5762383692564"
"6","guided","2","-0.0330723308694068","-0.576238369256403"
"6","guided","3","0","0"
"6","guided","4","0","0"
"6","guided","5","0","0"
"6","guided","6","-0.015726822961739","-0.274017542121282"
"6","guided","7","0","0"
"6","guided","8","0.0208333333333334","0.36299122893936"
"6","guided","9","-0.00510651037159437","-0.0889736868180781"
"6","guided","10","0","0"
"7","guided","1","0.062917163940937","1.09624217569439"
"7","guided","2","-0.00552367431253142","-0.0962421756943945"
"7","guided","3","0.0338032551857972","0.588973686818078"
"7","guided","4","-0.0208333333333334","-0.36299122893936"
"7","guided","5","0","0"
"7","guided","6","-0.0129699218524638","-0.225982457878718"
"7","guided","7","0","0"
"7","guided","8","0","0"
"7","guided","9","0","0"
"7","guided","10","0","0"
"8","guided","1","0.117340234442608","2.04448684340904"
"8","guided","2","-0.0599467448142027","-1.04448684340904"
"8","guided","3","-0.015726822961739","-0.274017542121282"
"8","guided","4","0.015726822961739","0.274017542121282"
"8","guided","5","0","0"
"8","guided","6","-0.015726822961739","-0.274017542121282"
"8","guided","7","0","0"
"8","guided","8","0.015726822961739","0.274017542121282"
"8","guided","9","0","0"
"8","guided","10","0","0"
"9","guided","1","0.0992552494289358","0.827861877542848"
"9","guided","2","-0.0288918379480664","-0.240979206107128"
"9","guided","3","-0.00786341148086944","-0.0655866428213998"
"9","guided","4","0","0"
"9","guided","5","-0.00510651037159437","-0.0425920572286397"
"9","guided","6","0","0"
"9","guided","7","0.0208333333333333","0.173765342871439"
"9","guided","8","-0.0208333333333333","-0.173765342871439"
"9","guided","9","0.00510651037159437","0.0425920572286397"
"9","guided","10","0.0573934896284056","0.47870397138568"
"10","guided","1","0.090096785471572","0.726426262258281"
"10","guided","2","0.0257816003382556","0.207870141767324"
"10","guided","3","0","0"
"10","guided","4","0.00912161419017243","0.0735451333501771"
"10","guided","5","-0.0214624346879848","-0.173045865374127"
"10","guided","6","0.0202042319786818","0.162901313751133"
"10","guided","7","-0.0404084639573637","-0.325802627502267"
"10","guided","8","0.0416666666666667","0.335947179125261"
"10","guided","9","0.00321920630763994","0.0259555986737732"
"10","guided","10","-0.0041917720688458","-0.0337971360495553"
"11","guided","1","0.117038898968807","0.936311191750454"
"11","guided","2","-0.0085235123799059","-0.0681880990392472"
"11","guided","3","0.00354026217832126","0.0283220974265701"
"11","guided","4","0.00837639840160143","0.0670111872128114"
"11","guided","5","0.000756494936076324","0.00605195948861059"
"11","guided","6","-0.00280574588443694","-0.0224459670754955"
"11","guided","7","-0.000285636948097023","-0.00228509558477619"
"11","guided","8","0.0017057865418062","0.0136462923344496"
"11","guided","9","0.00393885147652495","0.0315108118121996"
"11","guided","10","0.00125820270930299","0.0100656216744239"
"12","guided","1","0.114165453531931","0.913323628255449"
"12","guided","2","0.00957634375876593","0.0766107500701274"
"12","guided","3","-0.023168221229791","-0.185345769838328"
"12","guided","4","0.00561906739864526","0.0449525391891621"
"12","guided","5","0.00874000450314272","0.0699200360251417"
"12","guided","6","0.00805265439192671","0.0644212351354136"
"12","guided","7","-0.000411163958993099","-0.00328931167194479"
"12","guided","8","0.00179676024972086","0.0143740819977669"
"12","guided","9","-0.00356267071419436","-0.0285013657135549"
"12","guided","10","0.00419177206884591","0.0335341765507673"
"13","guided","1","0.105178378659274","0.874742467394205"
"13","guided","2","0.0050733641221371","0.0421939100674295"
"13","guided","3","0.0134900545092862","0.112193434783422"
"13","guided","4","-0.00384830766229149","-0.0320054195806723"
"13","guided","5","0","0"
"13","guided","6","0","0"
"13","guided","7","0","0"
"13","guided","8","-0.0434629970227065","-0.361470957630483"
"13","guided","9","0.0264779713516645","0.220210715234351"
"13","guided","10","0.0173307865418063","0.144135849731748"
"14","guided","1","0.107404297857902","0.859234382863219"
"14","guided","2","0.013155142892346","0.105241143138768"
"14","guided","3","0.00381145789510007","0.0304916631608005"
"14","guided","4","0.000629101354651551","0.00503281083721241"
"14","guided","5","0","0"
"14","guided","6","-0.0625","-0.5"
"14","guided","7","0.0373843507835873","0.299074806268698"
"14","guided","8","0.0251156492164127","0.200925193731302"
"14","guided","9","0","0"
"14","guided","10","0","0"
"15","guided","1","0.108316739696441","0.888239164761088"
"15","guided","2","0.0154250575942562","0.126491439017749"
