replicate,arm,initial_quality,terminal_quality,terminal_gain,peak_quality,peak_round,negative_steps
0,raw_replace,0.8698934896284056,0.9380785311725244,0.06818504154411875,0.9380785311725244,10,3
1,raw_replace,0.8698934896284056,0.7565926341107772,-0.11330085551762847,0.8698934896284056,0,4
2,raw_replace,0.8698934896284056,0.8904919235296249,0.020598433901219293,0.9543555411781608,2,4
3,raw_replace,0.8698934896284056,0.980001710409006,0.11010822078060034,0.980001710409006,4,0
4,raw_replace,0.8698934896284056,0.8913380704900397,0.021444580861634033,0.9322476887381035,1,2
5,raw_replace,0.8698934896284056,0.8780425380573722,0.008149048428966577,0.893814248312288,1,5
6,raw_replace,0.8698934896284056,0.797443261571519,-0.07245022805688661,0.8737485393033986,3,3
7,raw_replace,0.8698934896284056,0.8108262459560379,-0.05906724367236771,0.8698934896284056,0,5
8,raw_replace,0.8698934896284056,0.8169730216412768,-0.052920467987128794,0.9725840161901109,3,5
9,raw_replace,0.8698934896284056,0.9878049979672081,0.11791150833880248,0.9935097599082067,4,1
10,raw_replace,0.8698934896284056,0.9161867877764943,0.04629329814808869,0.9642784412058634,3,3
11,raw_replace,0.8698934896284056,0.9151862905236371,0.045292800895231466,0.9483368047133812,6,3
12,raw_replace,0.8698934896284056,0.9543892026912469,0.08449571306284132,0.9543892026912469,8,2
13,raw_replace,0.8698934896284056,0.9090693214961523,0.03917583186774665,0.9406395117472308,4,2
14,raw_replace,0.8698934896284056,0.74734362633918,-0.12254986328922568,0.8729572109297975,4,4
15,raw_replace,0.8698934896284056,0.8533860639580446,-0.01650742567036101,0.9263561125346769,6,3
0,anchored,0.8698934896284056,0.7277197473317107,-0.14217374229669488,0.8827217178316902,1,6
1,anchored,0.8698934896284056,0.7302653304960134,-0.13962815913239224,0.9780704108417699,3,8
2,anchored,0.8698934896284056,0.742350568432804,-0.12754292119560162,0.9333974762321038,2,8
3,anchored,0.8698934896284056,0.747648945465259,-0.12224454416314667,0.9132152228956139,5,6
