replicate,round,arm,input_tokens,output_tokens,error
3,1,raw_replace,531,458,
0,1,guided,537,634,
3,1,anchored,531,454,
2,1,anchored,531,454,
5,1,raw_replace,531,452,
0,1,anchored,531,454,
5,1,anchored,531,454,
0,1,raw_replace,531,454,
1,1,raw_replace,531,452,
2,1,raw_replace,531,457,
1,1,anchored,531,460,
4,1,anchored,531,454,
4,1,guided,537,468,
4,1,raw_replace,531,455,
3,1,guided,537,464,
2,1,guided,537,463,
5,1,guided,537,467,
3,1,verified,531,675,
1,1,guided,537,468,
5,1,verified,531,655,
2,1,verified,531,655,
0,1,verified,531,672,
1,1,verified,531,662,
4,1,verified,531,681,
6,1,raw_replace,531,453,
9,1,anchored,531,455,
7,1,raw_replace,531,455,
10,1,raw_replace,531,459,
7,1,anchored,531,456,
7,1,guided,537,468,
6,1,anchored,531,453,
8,1,raw_replace,531,458,
9,1,raw_replace,531,457,
8,1,anchored,531,456,
6,1,guided,537,467,
10,1,anchored,531,460,
8,1,guided,537,466,
9,1,guided,537,467,
8,1,verified,531,657,
11,1,anchored,531,453,
7,1,verified,531,956,
9,1,verified,531,658,
11,1,raw_replace,531,457,
10,1,guided,537,467,
6,1,verified,531,675,
12,1,raw_replace,531,456,
10,1,verified,531,675,
11,1,verified,531,674,
12,1,guided,537,464,
13,1,anchored,531,456,
11,1,guided,537,634,
12,1,anchored,531,454,
13,1,raw_replace,531,456,
14,1,anchored,531,453,
13,1,guided,537,467,
14,1,guided,537,467,
15,1,anchored,531,461,
14,1,raw_replace,531,621,
13,1,verified,531,667,
12,1,verified,531,681,
15,1,raw_replace,531,455,
15,1,guided,537,635,
14,1,verified,531,662,
15,1,verified,531,675,
2,2,raw_replace,534,460,
0,2,guided,549,462,
5,2,anchored,532,459,
3,2,raw_replace,535,458,
1,2,guided,551,463,
2,2,anchored,532,460,
4,2,anchored,531,456,
1,2,raw_replace,529,451,
4,2,raw_replace,532,455,
0,2,raw_replace,531,456,
4,2,guided,551,466,
5,2,raw_replace,529,434,
1,2,anchored,536,462,
2,2,guided,546,467,
0,2,anchored,531,453,
5,2,guided,550,464,
3,2,guided,547,466,
0,2,verified,531,657,
5,2,verified,530,658,
3,2,anchored,532,454,
2,2,verified,534,683,
3,2,verified,534,662,
4,2,verified,539,669,
1,2,verified,537,668,
6,2,raw_replace,530,454,
7,2,guided,551,462,
7,2,raw_replace,532,455,
8,2,raw_replace,535,458,
9,2,raw_replace,534,458,
7,2,anchored,534,457,
6,2,guided,550,458,
9,2,guided,550,462,
8,2,anchored,532,462,
6,2,verified,534,667,
10,2,raw_replace,536,459,
10,2,anchored,535,460,
8,2,guided,549,462,
6,2,anchored,531,455,
8,2,verified,534,663,
9,2,anchored,532,454,
10,2,guided,550,464,
10,2,verified,535,662,
11,2,raw_replace,534,460,
9,2,verified,534,670,
11,2,anchored,532,454,
11,2,guided,549,464,
12,2,anchored,532,455,
7,2,verified,537,666,
12,2,raw_replace,533,455,
11,2,verified,530,658,
13,2,anchored,532,456,
13,2,raw_replace,533,460,
15,2,raw_replace,532,455,
14,2,anchored,531,457,
12,2,verified,538,667,
13,2,guided,550,463,
14,2,raw_replace,530,454,
12,2,guided,547,466,
14,2,guided,550,465,
15,2,guided,550,631,
13,2,verified,539,687,
15,2,anchored,537,461,
15,2,verified,534,681,
14,2,verified,539,669,
1,3,guided,546,466,
1,3,raw_replace,528,452,
0,3,raw_replace,533,455,
2,3,raw_replace,537,460,
4,3,anchored,533,456,
0,3,anchored,532,453,
3,3,anchored,533,455,
3,3,raw_replace,535,458,
1,3,anchored,537,462,
5,3,guided,547,466,
4,3,guided,549,462,
5,3,anchored,537,464,
3,3,guided,549,462,
0,3,guided,545,470,
2,3,anchored,535,461,
2,3,guided,550,462,
4,3,raw_replace,532,455,
2,3,verified,538,667,
1,3,verified,540,669,
3,3,verified,534,665,
5,3,verified,536,648,
4,3,verified,538,686,
5,3,raw_replace,513,452,
0,3,verified,533,684,
6,3,anchored,533,455,
6,3,raw_replace,531,456,
6,3,guided,541,458,
7,3,raw_replace,532,455,
7,3,anchored,534,455,
9,3,anchored,532,454,
8,3,raw_replace,535,458,
9,3,raw_replace,535,461,
8,3,anchored,537,462,
9,3,guided,545,470,
11,3,raw_replace,537,459,
11,3,anchored,533,456,
10,3,anchored,536,460,
10,3,raw_replace,536,461,
8,3,guided,545,466,
8,3,verified,539,670,
10,3,guided,547,465,
7,3,guided,545,462,
6,3,verified,540,689,
9,3,verified,541,689,
7,3,verified,538,667,
12,3,anchored,532,454,
10,3,verified,537,666,
11,3,guided,547,634,
12,3,raw_replace,532,456,
13,3,anchored,533,457,
13,3,raw_replace,537,460,
14,3,anchored,534,456,
15,3,raw_replace,532,456,
12,3,verified,539,669,
11,3,verified,534,659,
14,3,raw_replace,531,454,
12,3,guided,549,464,
15,3,anchored,537,442,
13,3,guided,546,464,
14,3,guided,548,465,
15,3,guided,546,465,
13,3,verified,540,669,
15,3,verified,539,668,
14,3,verified,541,670,
5,4,raw_replace,529,452,
5,4,anchored,539,463,
3,4,anchored,533,455,
2,4,raw_replace,537,461,
1,4,raw_replace,529,452,
4,4,guided,545,458,
4,4,raw_replace,532,458,
2,4,guided,545,636,
0,4,raw_replace,532,458,
0,4,guided,553,458,
0,4,anchored,533,454,
1,4,guided,549,465,
1,4,anchored,537,463,
2,4,anchored,537,461,
4,4,anchored,533,456,
5,4,guided,549,464,
3,4,raw_replace,535,462,
1,4,verified,541,652,
3,4,guided,545,470,
4,4,verified,541,670,
5,4,verified,541,669,
0,4,verified,540,669,
2,4,verified,539,687,
3,4,verified,539,668,
8,4,anchored,537,461,
8,4,raw_replace,535,458,
7,4,raw_replace,532,457,
6,4,raw_replace,533,456,
6,4,anchored,533,456,
10,4,raw_replace,538,460,
7,4,guided,545,466,
9,4,guided,553,458,
8,4,guided,549,462,
7,4,anchored,533,455,
10,4,anchored,536,458,
9,4,raw_replace,538,463,
9,4,anchored,534,456,
7,4,verified,538,686,
6,4,guided,541,462,
6,4,verified,542,671,
9,4,verified,541,671,
10,4,guided,548,632,
11,4,raw_replace,536,459,
11,4,anchored,533,456,
8,4,verified,541,668,
10,4,verified,539,670,
12,4,anchored,532,453,
11,4,guided,549,465,
11,4,verified,536,663,
12,4,raw_replace,533,456,
12,4,guided,547,464,
13,4,raw_replace,537,461,
14,4,anchored,532,455,
13,4,guided,547,464,
13,4,anchored,535,459,
15,4,raw_replace,533,461,
14,4,raw_replace,531,454,
14,4,guided,548,464,
15,4,anchored,536,462,
13,4,verified,541,670,
14,4,verified,542,652,
15,4,verified,540,688,
12,4,verified,540,670,
15,4,guided,548,463,
4,5,raw_replace,535,459,
0,5,anchored,532,454,
1,5,anchored,537,462,
2,5,raw_replace,538,461,
5,5,raw_replace,529,452,
5,5,anchored,539,463,
3,5,anchored,533,455,
4,5,anchored,533,454,
0,5,raw_replace,535,458,
3,5,raw_replace,539,462,
1,5,guided,548,465,
2,5,anchored,537,458,
3,5,guided,553,458,
5,5,guided,547,464,
0,5,guided,541,474,
2,5,guided,551,461,
1,5,raw_replace,529,452,
4,5,guided,541,464,
0,5,verified,541,670,
1,5,verified,541,671,
2,5,verified,540,669,
3,5,verified,541,671,
4,5,verified,541,941,
5,5,verified,541,689,
6,5,anchored,533,454,
8,5,anchored,536,458,
7,5,raw_replace,534,455,
6,5,raw_replace,533,456,
7,5,anchored,532,456,
8,5,raw_replace,535,459,
6,5,guided,545,462,
9,5,anchored,533,456,
9,5,raw_replace,540,462,
8,5,guided,545,462,
10,5,anchored,535,459,
10,5,raw_replace,537,460,
7,5,guided,549,462,
11,5,raw_replace,536,459,
9,5,verified,541,670,
10,5,guided,547,464,
11,5,anchored,535,457,
6,5,verified,542,670,
9,5,guided,541,466,
7,5,verified,541,668,
8,5,verified,541,669,
12,5,guided,547,632,
12,5,anchored,532,454,
11,5,guided,548,466,
10,5,verified,540,687,
12,5,raw_replace,533,456,
13,5,raw_replace,538,461,
13,5,guided,547,464,
14,5,raw_replace,531,455,
14,5,anchored,533,458,
13,5,anchored,536,457,
15,5,anchored,538,465,
15,5,raw_replace,538,462,
11,5,verified,537,683,
12,5,verified,541,669,
14,5,guided,547,464,
15,5,guided,546,633,
14,5,verified,542,669,
15,5,verified,540,668,
13,5,verified,541,667,
4,6,raw_replace,536,459,
4,6,guided,547,466,
2,6,raw_replace,538,461,
1,6,raw_replace,529,452,
0,6,guided,557,458,
3,6,raw_replace,539,462,
1,6,anchored,539,462,
5,6,raw_replace,529,452,
0,6,anchored,532,454,
3,6,anchored,532,453,
5,6,verified,541,669,
2,6,anchored,536,456,
4,6,anchored,533,455,
0,6,raw_replace,535,458,
1,6,guided,548,465,
2,6,guided,544,467,
5,6,anchored,538,460,
3,6,guided,541,470,
5,6,guided,547,464,
3,6,verified,542,671,
0,6,verified,541,670,
2,6,verified,541,670,
1,6,verified,541,670,
6,6,anchored,532,453,
6,6,raw_replace,533,456,
7,6,raw_replace,532,456,
6,6,guided,545,458,
7,6,anchored,533,455,
9,6,anchored,533,454,
10,6,anchored,536,459,
8,6,anchored,534,458,
10,6,raw_replace,537,460,
4,6,verified,541,669,
7,6,guided,545,462,
8,6,raw_replace,536,458,
8,6,guided,545,466,
6,6,verified,542,670,
9,6,raw_replace,539,462,
7,6,verified,541,652,
9,6,guided,549,458,
11,6,anchored,534,454,
10,6,guided,547,465,
9,6,verified,540,669,
8,6,verified,541,672,
11,6,raw_replace,536,459,
10,6,verified,540,651,
11,6,guided,549,465,
12,6,anchored,533,454,
13,6,raw_replace,538,461,
12,6,raw_replace,533,456,
13,6,guided,547,464,
12,6,guided,547,465,
14,6,raw_replace,532,455,
14,6,anchored,535,459,
15,6,raw_replace,539,462,
15,6,anchored,539,462,
11,6,verified,537,665,
14,6,guided,547,464,
13,6,anchored,534,456,
12,6,verified,540,671,
13,6,verified,541,668,
14,6,verified,540,649,
15,6,guided,548,464,
15,6,verified,541,671,
4,7,raw_replace,536,459,
4,7,anchored,534,457,
1,7,anchored,538,460,
5,7,guided,547,632,
2,7,anchored,535,457,
1,7,guided,548,464,
2,7,raw_replace,538,460,
5,7,raw_replace,529,452,
0,7,anchored,532,455,
3,7,anchored,533,456,
0,7,raw_replace,535,458,
3,7,guided,553,458,
3,7,raw_replace,539,462,
5,7,verified,541,670,
5,7,anchored,538,461,
4,7,guided,549,464,
2,7,guided,550,463,
0,7,guided,541,462,
4,7,verified,540,668,
1,7,raw_replace,529,453,
3,7,verified,541,670,
0,7,verified,541,669,
1,7,verified,541,650,
2,7,verified,541,690,
6,7,raw_replace,533,456,
7,7,raw_replace,533,456,
7,7,anchored,533,454,
6,7,anchored,532,454,
6,7,guided,541,458,
10,7,raw_replace,537,460,
8,7,raw_replace,535,458,
8,7,anchored,536,459,
9,7,anchored,534,455,
11,7,raw_replace,536,458,
8,7,guided,549,458,
10,7,anchored,534,459,
9,7,raw_replace,539,462,
9,7,guided,541,462,
7,7,guided,545,462,
11,7,anchored,533,456,
6,7,verified,541,670,
8,7,verified,541,670,
10,7,guided,548,464,
9,7,verified,540,649,
7,7,verified,542,669,
10,7,verified,541,651,
12,7,anchored,532,453,
12,7,raw_replace,533,457,
13,7,anchored,534,437,
11,7,verified,537,645,
12,7,guided,548,631,
13,7,raw_replace,538,461,
13,7,verified,541,669,
13,7,guided,547,464,
12,7,verified,541,688,
14,7,anchored,536,459,
14,7,raw_replace,532,455,
11,7,guided,548,465,
15,7,raw_replace,539,462,
14,7,guided,547,465,
14,7,verified,539,668,
15,7,anchored,537,461,
15,7,guided,547,465,
15,7,verified,541,671,
0,8,raw_replace,535,458,
0,8,anchored,532,453,
3,8,anchored,532,453,
4,8,anchored,535,457,
5,8,raw_replace,529,454,
4,8,raw_replace,536,459,
2,8,raw_replace,537,460,
1,8,anchored,536,458,
2,8,anchored,535,458,
1,8,raw_replace,530,453,
0,8,guided,545,462,
3,8,guided,541,474,
1,8,guided,547,464,
5,8,guided,547,464,
3,8,raw_replace,539,462,
5,8,anchored,537,464,
2,8,guided,546,466,
4,8,guided,547,458,
5,8,verified,541,670,
2,8,verified,541,671,
1,8,verified,541,651,
3,8,verified,541,670,
4,8,verified,541,669,
0,8,verified,541,670,
6,8,raw_replace,533,456,
7,8,anchored,533,455,
8,8,raw_replace,535,458,
7,8,raw_replace,533,458,
6,8,guided,541,462,
9,8,anchored,533,455,
9,8,raw_replace,539,462,
7,8,guided,545,462,
6,8,anchored,533,452,
8,8,guided,541,466,
10,8,raw_replace,537,459,
8,8,anchored,536,459,
10,8,anchored,535,460,
9,8,guided,545,626,
10,8,guided,547,464,
11,8,raw_replace,535,458,
11,8,guided,548,465,
7,8,verified,540,671,
11,8,anchored,534,456,
6,8,verified,541,669,
10,8,verified,540,650,
8,8,verified,541,940,
11,8,verified,537,663,
9,8,verified,540,669,
12,8,anchored,532,453,
12,8,raw_replace,534,460,
13,8,anchored,534,457,
13,8,raw_replace,538,461,
14,8,raw_replace,532,455,
12,8,guided,546,464,
14,8,anchored,536,457,
14,8,guided,548,464,
13,8,guided,547,633,
15,8,anchored,537,459,
15,8,raw_replace,539,462,
12,8,verified,541,942,
15,8,verified,541,670,
14,8,verified,541,942,
15,8,guided,548,464,
13,8,verified,542,671,
2,9,anchored,535,456,
0,9,raw_replace,535,458,
3,9,guided,557,458,
5,9,raw_replace,531,435,
3,9,raw_replace,539,462,
4,9,anchored,534,456,
0,9,anchored,532,452,
4,9,guided,541,458,
4,9,raw_replace,536,459,
5,9,anchored,540,463,
1,9,raw_replace,530,453,
2,9,raw_replace,537,460,
1,9,anchored,536,457,
0,9,guided,545,458,
2,9,guided,549,465,
1,9,guided,547,464,
3,9,anchored,533,454,
5,9,guided,547,464,
0,9,verified,541,670,
3,9,verified,541,669,
1,9,verified,541,650,
2,9,verified,541,650,
5,9,verified,540,668,
6,9,raw_replace,533,456,
7,9,anchored,533,454,
6,9,anchored,531,454,
8,9,raw_replace,535,457,
9,9,anchored,534,456,
9,9,raw_replace,539,462,
6,9,guided,545,462,
7,9,guided,545,462,
7,9,raw_replace,535,458,
8,9,anchored,536,459,
8,9,guided,549,466,
4,9,verified,541,669,
10,9,anchored,535,458,
9,9,guided,541,470,
7,9,verified,540,670,
11,9,anchored,533,456,
10,9,raw_replace,536,459,
8,9,verified,542,671,
6,9,verified,541,669,
10,9,guided,547,464,
11,9,raw_replace,535,458,
9,9,verified,540,687,
12,9,anchored,532,452,
13,9,raw_replace,538,461,
10,9,verified,540,651,
13,9,anchored,535,456,
11,9,verified,537,663,
11,9,guided,548,465,
14,9,anchored,536,457,
12,9,guided,547,467,
12,9,raw_replace,537,460,
14,9,raw_replace,532,455,
13,9,guided,548,464,
15,9,raw_replace,539,462,
15,9,anchored,536,458,
14,9,guided,547,464,
13,9,verified,542,670,
12,9,verified,541,670,
14,9,verified,542,917,
15,9,guided,547,466,
15,9,verified,541,673,
5,10,raw_replace,514,454,
1,10,anchored,534,456,
4,10,guided,541,458,
0,10,raw_replace,535,458,
1,10,raw_replace,530,453,
