checkpoint_count,train_count,holdout_count,noise_sd,noise_percent_of_total_response,replicates,score_threshold,false_positive_rate,detection_power,rank_two_mode_recovery_rate,median_alt_endpoint_abs_error,median_null_endpoint_abs_error,median_alt_rank1_forecast_mse,median_alt_rank2_forecast_mse
10,7,3,0.001,0.1,2000,0.8143498840037205,0.042,1.0,0.329,0.08792842122515249,0.00031086841827900025,0.00039679886398099815,6.584398274487193e-06
10,7,3,0.0025,0.25,2000,0.8752851173127234,0.056,0.907,0.101,0.14264115213230621,0.0007535123927589009,0.00039892681924344367,3.654982875842691e-05
10,7,3,0.005,0.5,2000,0.9233696726121324,0.0405,0.643,0.0395,0.15012197006472677,0.0015703607661945473,0.00041477333839837834,0.00010458802211203693
10,7,3,0.01,1.0,2000,0.8680320905741664,0.0505,0.4115,0.0175,0.159080762709164,0.003046510937144464,0.0005120172164581297,0.000283100104502711
10,7,3,0.02,2.0,2000,0.9416703439265278,0.0605,0.2215,0.0225,0.16177650027942023,0.007973522772570511,0.0009153317672316188,0.000758389146960905
10,7,3,0.05,5.0,2000,0.8233289676650667,0.043,0.1165,0.0155,0.16384135655343995,0.023352851953134218,0.003276809611260179,0.003470059312746286
12,9,3,0.001,0.1,2000,0.7476549427204578,0.0485,1.0,0.7125,0.044488662340343404,0.000262454058184855,0.000947914614161174,3.5197963976947336e-06
12,9,3,0.0025,0.25,2000,0.8391658109285666,0.0455,0.9995,0.307,0.09785376893075338,0.0006663042934408987,0.0009471881035227107,1.7064141522332232e-05
12,9,3,0.005,0.5,2000,0.7733460930655514,0.05,0.965,0.129,0.13013588202896675,0.0012999172563117945,0.0009626637684731647,6.483236835820295e-05
12,9,3,0.01,1.0,2000,0.7316818362094348,0.058,0.771,0.0525,0.14210206933725017,0.002645190488654454,0.001044661417771572,0.00022466877244711837
12,9,3,0.02,2.0,2000,0.7213156461762111,0.052,0.477,0.0275,0.15009294809255752,0.006178453919931253,0.0012625830641075498,0.0006330183663340407
12,9,3,0.05,5.0,2000,0.5823542882150711,0.057,0.208,0.0165,0.15653664788472896,0.01695581381680491,0.0032372928229228064,0.003030192566556093
15,11,4,0.001,0.1,2000,0.4963705618338408,0.043,1.0,0.9,0.03161545823412832,0.0002233798942482045,0.0018504481744875366,2.7927537739004376e-06
15,11,4,0.0025,0.25,2000,0.549015810330374,0.047,1.0,0.5605,0.047431480818834804,0.0005754247872323008,0.001856731595016166,1.8270407337766473e-05
15,11,4,0.005,0.5,2000,0.5370932865284892,0.0435,1.0,0.268,0.09963042448624623,0.0011478970862984867,0.001879235517600774,5.956666425033508e-05
15,11,4,0.01,1.0,2000,0.4689958304978147,0.063,0.9855,0.087,0.11971401873245738,0.0023134721197877,0.0019273494884372044,0.0002137373010653328
15,11,4,0.02,2.0,2000,0.573499760376177,0.045,0.7055,0.031,0.13868280915476747,0.005496688776496739,0.0020914716786456537,0.0007036045300282418
15,11,4,0.05,5.0,2000,0.41499510044092597,0.05,0.303,0.02,0.14736313995788697,0.013581973896086074,0.003686031714160029,0.0032890552228759594
20,15,5,0.001,0.1,2000,0.3164407321467819,0.045,1.0,0.9965,0.0011658591222165737,0.00018585805436752603,0.0032003687174713288,1.3797908203215234e-06
20,15,5,0.0025,0.25,2000,0.33256219965773287,0.0485,1.0,0.88,0.028784553809225795,0.00045996414588384655,0.0032039119043660623,1.2370164272493806e-05
20,15,5,0.005,0.5,2000,0.3360535236574839,0.0485,1.0,0.558,0.042674683891309,0.0009304579837767365,0.003217478836841095,5.030081212279583e-05
20,15,5,0.01,1.0,2000,0.3097173316193399,0.0545,0.9955,0.262,0.07997124570396796,0.0018786848533785118,0.0031911922746471755,0.0001723598946047339
20,15,5,0.02,2.0,2000,0.3369805825613781,0.0485,0.903,0.0795,0.11274292263471056,0.004241324147558295,0.003000583384441137,0.000609472608421082
20,15,5,0.05,5.0,2000,0.2851163205711158,0.039,0.5005,0.0185,0.12949868833449182,0.010252600155636934,0.0045637935935904745,0.0032984921025296767
30,22,8,0.001,0.1,2000,0.16487965907493665,0.055,1.0,1.0,0.00044986542751934905,0.0001615288393339253,0.002918536546418974,1.0768987727845054e-06
30,22,8,0.0025,0.25,2000,0.15392097741738867,0.063,1.0,0.999,0.0015461733197477184,0.0003791142944911366,0.0029232372706150893,7.614205792682478e-06
30,22,8,0.005,0.5,2000,0.17236093424947474,0.043,1.0,0.919,0.006865386701468995,0.0007722655861261239,0.002937252989894388,3.8519377917144364e-05
30,22,8,0.01,1.0,2000,0.15090791432625794,0.0605,1.0,0.6125,0.03161829770278979,0.001550822568313505,0.0030059822993782842,0.00014840542667776967
30,22,8,0.02,2.0,2000,0.15863624380814798,0.055,0.9875,0.203,0.061746851190455324,0.0031393709861548044,0.0033324375842870672,0.0005614259286852588
30,22,8,0.05,5.0,2000,0.16919740606535227,0.0465,0.7725,0.0485,0.09668815009401352,0.007962732165675558,0.005668549021656208,0.003120986160333694
40,30,10,0.001,0.1,2000,0.1198214485388475,0.049,1.0,1.0,0.0002938689217103045,0.000130136898340366,0.0035227951133853146,1.0435450776079805e-06
40,30,10,0.0025,0.25,2000,0.11606329487309969,0.058,1.0,1.0,0.000733191624736561,0.0003071918495450261,0.0035239170132357078,6.459877225141478e-06
40,30,10,0.005,0.5,2000,0.13904152658850638,0.044,1.0,0.9945,0.0019591682524707898,0.0006499215055561364,0.003540841693791338,2.9447145952728613e-05
40,30,10,0.01,1.0,2000,0.11910604921244582,0.0375,1.0,0.7685,0.017512413653915482,0.0012849291163283877,0.003605117201925442,0.00013686361017179664
40,30,10,0.02,2.0,2000,0.12998716076568545,0.0375,0.9975,0.36,0.030645002384792144,0.0026726029281321888,0.003927844048926637,0.0005116247638878974
40,30,10,0.05,5.0,2000,0.12448537372844178,0.0555,0.857,0.072,0.0595767742527146,0.006597291360703679,0.005601169919066557,0.002904553528483448
60,45,15,0.001,0.1,2000,0.06777890915919571,0.047,1.0,1.0,0.00017242827836458575,0.00010335920125923127,0.0020142196710776156,1.0054332440206528e-06
60,45,15,0.0025,0.25,2000,0.066313736952575,0.0545,1.0,1.0,0.00044046148841154126,0.0002661808038943174,0.0020455410314242283,6.2661114675303276e-06
60,45,15,0.005,0.5,2000,0.0690742129430814,0.051,1.0,0.999,0.0009312643757536867,0.0004996144991052568,0.0021449686084411314,2.547690181015533e-05
60,45,15,0.01,1.0,2000,0.06760460027056676,0.049,1.0,0.901,0.002776610704800871,0.0010461021048734946,0.002419003608297267,0.00011300407433405001
60,45,15,0.02,2.0,2000,0.06949850497564804,0.0555,0.9965,0.547,0.011698328014418707,0.0021766184717581637,0.002848911704712454,0.0004530226784733
60,45,15,0.05,5.0,2000,0.07267533523454582,0.051,0.871,0.152,0.025130023035120467,0.0051224088023259125,0.0048817946984941185,0.002755384006825367
