checkpoint,single_mode_residual,single_mode_profile,single_mode_kernel,two_mode_residual,two_mode_profile,two_mode_kernel
0,1.0,0.0,,1.0,0.0,
1,0.45,0.55,0.55,0.5725,0.4275,0.4275
2,0.2025,0.7975,0.24749999999999994,0.37277499999999997,0.627225,0.19972500000000004
3,0.09112500000000001,0.908875,0.111375,0.27598975,0.7240102500000001,0.09678525000000004
4,0.04100625,0.95899375,0.05011874999999999,0.22594192749999997,0.7740580725,0.05004782249999995
5,0.018452812500000002,0.9815471875,0.02255343750000005,0.19731561497499994,0.8026843850250001,0.02862631252500003
6,0.008303765625,0.991696234375,0.010149046874999956,0.17869526948274994,0.8213047305172501,0.01862034549225
7,0.0037366945312500006,0.99626330546875,0.004567071093749986,0.16492191944659743,0.8350780805534026,0.013773350036152543
8,0.0016815125390625004,0.9983184874609375,0.0020551819921875714,0.1536533690395672,0.8463466309604328,0.011268550407030231
9,0.0007566806425781252,0.9992433193574218,0.0009248318964842905,0.1438162110390877,0.8561837889609123,0.009837158000479462
10,0.00034050628916015635,0.9996594937108398,0.00041617435341800846,0.13490915824059496,0.865090841759405,0.008907052798492687
11,0.00015322783012207034,0.9998467721698779,0.00018727845903809826,0.1266894726848929,0.8733105273151072,0.008219685555702183
12,6.895252355493167e-05,0.9999310474764451,8.427530656718307e-05,0.11903179309622947,0.8809682069037705,0.007657679588663369
13,3.102863559971925e-05,0.9999689713644003,3.792388795520463e-05,0.11186454545804926,0.8881354545419508,0.007167247638180219
14,1.3962886019873663e-05,0.9999860371139802,1.706574957982543e-05,0.10514126970698338,0.8948587302930167,0.006723275751065905
15,6.283298708943148e-06,0.999993716701291,7.679587310849278e-06,0.09882766216395208,0.9011723378360479,0.00631360754303123
16,2.8274844190244165e-06,0.999997172515581,3.45581428995434e-06,0.09289569332183942,0.9071043066781606,0.005931968842112667
17,1.2723679885609876e-06,0.9999987276320115,1.5551164305183107e-06,0.08732091262200506,0.912679087377995,0.005574780699834414
18,5.725655948524444e-07,0.9999994274344052,6.998023936999331e-07,0.08208119026944895,0.9179188097305511,0.005239722352556098
19,2.576545176836e-07,0.9999997423454823,3.1491107710390764e-07,0.0771561084354259,0.9228438915645741,0.004925081834023071
20,1.1594453295762e-07,0.999999884055467,1.4170998474671848e-07,0.07252664724126509,0.9274733527587349,0.004629461194160744
21,5.2175039830929e-08,0.9999999478249602,6.37694931304722e-08,0.06817500579717331,0.9318249942028267,0.004351641444091836
22,2.347876792391805e-08,0.9999999765212321,2.8696271914263605e-08,0.06408448627501578,0.9359155137249842,0.004090519522157443
