source,model,cases,wins,structural_wins,beats_persistence_fraction,median_mse_ratio_to_persistence
published,persistence,20,0,0,1.0,0.9999999999998174
published,separate_local,20,1,0,0.9,0.2723582785489812
published,separate_power,20,12,0,1.0,0.022992229809784347
published,separate_rank_1,20,1,0,0.9,0.1404088871577526
published,shared_rank_1,20,0,0,0.45,1.1664617431572406
published,shared_rank_2,20,6,20,1.0,0.03232340541170887
published,shared_two_phase,20,0,0,0.35,1.5177985363580624
reproduction,persistence,15,4,0,1.0,0.99999999999999
reproduction,separate_local,15,1,0,0.06666666666666667,3.1291031416018336
reproduction,separate_power,15,0,0,0.13333333333333333,1.4686215415310262
reproduction,separate_rank_1,15,0,0,0.06666666666666667,1.4592586803993413
reproduction,shared_rank_1,15,0,0,0.13333333333333333,1.275630168693006
reproduction,shared_rank_2,15,1,4,0.3333333333333333,1.1206312816742274
reproduction,shared_two_phase,15,9,11,0.7333333333333333,0.9324239078585024
synthetic_local,persistence,1500,124,0,1.0,0.9999999999995434
synthetic_local,separate_local,1500,106,0,0.3506666666666667,1.745410458598829
synthetic_local,separate_power,1500,207,0,0.6866666666666666,0.6369639195357725
synthetic_local,separate_rank_1,1500,254,0,0.59,0.8220346965355139
synthetic_local,shared_rank_1,1500,137,451,0.5446666666666666,0.9000507584110957
synthetic_local,shared_rank_2,1500,416,687,0.716,0.5686965937079691
synthetic_local,shared_two_phase,1500,256,362,0.6426666666666667,0.7801768909120324
