truth_order,train_count,replicates,real_stable_pole_fraction,all_poles_within_0_05_fraction,median_maximum_pole_error_when_valid
1,10,400,1.0,0.995,0.009130318825114447
1,12,400,1.0,0.995,0.009009530855473236
1,14,400,1.0,0.9975,0.007850727293309406
1,15,400,1.0,1.0,0.007813257269733614
1,16,400,1.0,0.9975,0.007825309174276984
1,20,400,1.0,1.0,0.007461874234645199
1,21,400,1.0,1.0,0.0075611458472435444
2,10,400,0.52,0.0975,0.11711412595860698
2,12,400,0.5225,0.1175,0.10986605783830627
2,14,400,0.515,0.1175,0.10242075365239275
2,15,400,0.5125,0.1375,0.0951014806598266
2,16,400,0.4925,0.13,0.09907425077820559
2,20,400,0.4175,0.1225,0.08693450288753368
2,21,400,0.4075,0.125,0.0839837181107187
3,10,400,0.0075,0.0,0.3101378767944376
3,12,400,0.0,0.0,nan
3,14,400,0.0075,0.0,0.23388092564988727
3,15,400,0.01,0.0,0.20953744206297292
3,16,400,0.01,0.0,0.16572222097934258
3,20,400,0.0075,0.0,0.313963179300825
3,21,400,0.005,0.0,0.26772153640714014
4,10,400,0.0,0.0,nan
4,12,400,0.0,0.0,nan
4,14,400,0.0,0.0,nan
4,15,400,0.0,0.0,nan
4,16,400,0.0,0.0,nan
4,20,400,0.0,0.0,nan
4,21,400,0.0,0.0,nan
