representation,checkpoint_count,hankel_size,noise_sd,noise_percent_of_total_response,replicates,null_threshold_s2_over_s1,false_positive_rate,detection_power
residual,8,4,0.0,0.0,2000,1.0146099269226342e-17,0.0,1.0
kernel,8,4,0.0,0.0,2000,2.880752355230966e-17,0.0,1.0
residual,8,4,0.001,0.1,2000,0.003002423869207086,0.0485,1.0
kernel,8,4,0.001,0.1,2000,0.009896203970409244,0.0415,1.0
residual,8,4,0.0025,0.25,2000,0.007460587488041835,0.0515,1.0
kernel,8,4,0.0025,0.25,2000,0.023685461906030703,0.0575,0.9165
residual,8,4,0.005,0.5,2000,0.01509652045489235,0.047,1.0
kernel,8,4,0.005,0.5,2000,0.04882860123783726,0.0435,0.2005
residual,8,4,0.01,1.0,2000,0.029815093950409526,0.0535,1.0
kernel,8,4,0.01,1.0,2000,0.0975349270682509,0.0495,0.157
residual,8,4,0.02,2.0,2000,0.05923915824416515,0.0615,0.999
kernel,8,4,0.02,2.0,2000,0.18984833771522647,0.0565,0.1585
residual,8,4,0.05,5.0,2000,0.15061286990273853,0.046,0.1405
kernel,8,4,0.05,5.0,2000,0.4599411357086249,0.05,0.1495
residual,10,5,0.0,0.0,2000,2.9123178062317285e-17,0.0,1.0
kernel,10,5,0.0,0.0,2000,2.8273406268414785e-17,0.0,1.0
residual,10,5,0.001,0.1,2000,0.00343763571706487,0.0555,1.0
kernel,10,5,0.001,0.1,2000,0.01113782571241794,0.0535,1.0
residual,10,5,0.0025,0.25,2000,0.008608640384757282,0.054,1.0
kernel,10,5,0.0025,0.25,2000,0.027955344460995502,0.0475,1.0
residual,10,5,0.005,0.5,2000,0.01740222054211033,0.0525,1.0
kernel,10,5,0.005,0.5,2000,0.056668009405488835,0.0515,0.2695
residual,10,5,0.01,1.0,2000,0.033624840690938775,0.0555,1.0
kernel,10,5,0.01,1.0,2000,0.11009574484306646,0.0545,0.191
residual,10,5,0.02,2.0,2000,0.06856531955461244,0.048,1.0
kernel,10,5,0.02,2.0,2000,0.2215500987560366,0.05,0.188
residual,10,5,0.05,5.0,2000,0.17324630867979265,0.049,0.2095
kernel,10,5,0.05,5.0,2000,0.537846236068338,0.0425,0.1575
residual,12,6,0.0,0.0,2000,1.5309028891707067e-17,0.0,1.0
kernel,12,6,0.0,0.0,2000,4.9572299345311987e-17,0.0,1.0
