source,series,truth,split_count,train_count_sequence,winner_sequence,consensus_model,consensus_fraction,rank2_beats_rank1_splits,power_law_beats_both_modal_splits
published,gsm8k_qe__gap,unknown,5,10|12|14|15|16,rank_2|rank_1|local_linear|local_linear|power_law,local_linear,0.4,3,3
published,gsm8k_qe__solver,unknown,5,10|12|14|15|16,power_law|power_law|local_linear|rank_2|local_linear,local_linear,0.4,5,3
published,gsm8k_qe__verifier,unknown,5,10|12|14|15|16,power_law|rank_1|rank_2|rank_2|power_law,power_law,0.4,3,2
published,gsm8k_tf__gap,unknown,5,10|12|14|15|16,rank_1|rank_1|power_law|rank_1|power_law,rank_1,0.6,0,2
published,gsm8k_tf__solver,unknown,5,10|12|14|15|16,rank_2|rank_2|power_law|power_law|power_law,power_law,0.6,5,3
published,gsm8k_tf__verifier,unknown,5,10|12|14|15|16,rank_2|rank_2|power_law|power_law|power_law,power_law,0.6,5,3
published,math_qe__gap,unknown,5,10|12|14|15|16,rank_1|power_law|rank_2|power_law|power_law,power_law,0.6,2,3
published,math_qe__solver,unknown,5,10|12|14|15|16,rank_2|rank_1|power_law|power_law|power_law,power_law,0.6,1,3
published,math_qe__verifier,unknown,5,10|12|14|15|16,power_law|rank_1|rank_1|rank_1|rank_2,rank_1,0.6,1,1
published,math_tf__gap,unknown,5,10|12|14|15|16,rank_1|rank_2|power_law|power_law|rank_2,power_law,0.4,4,2
published,math_tf__solver,unknown,5,10|12|14|15|16,power_law|power_law|rank_2|rank_2|rank_2,rank_2,0.6,5,2
published,math_tf__verifier,unknown,5,10|12|14|15|16,power_law|power_law|power_law|rank_1|rank_1,power_law,0.6,2,3
reproduction,20260718__normalized_uncertainty_gap,unknown,5,10|12|14|15|16,local_linear|rank_2|local_linear|rank_2|rank_1,local_linear,0.4,4,0
reproduction,20260718__solver_normalized_uncertainty,unknown,5,10|12|14|15|16,persistence|persistence|rank_2|local_linear|rank_2,persistence,0.4,5,0
reproduction,20260718__solver_uncertainty,unknown,5,10|12|14|15|16,persistence|persistence|persistence|persistence|persistence,persistence,1.0,4,0
reproduction,20260718__uncertainty_gap,unknown,5,10|12|14|15|16,rank_1|rank_1|persistence|persistence|persistence,persistence,0.6,0,0
reproduction,20260718__verifier_normalized_uncertainty,unknown,5,10|12|14|15|16,rank_2|rank_2|persistence|persistence|persistence,persistence,0.6,5,0
reproduction,20260718__verifier_uncertainty,unknown,5,10|12|14|15|16,rank_1|rank_1|persistence|persistence|persistence,persistence,0.6,0,0
reproduction,20260719__normalized_uncertainty_gap,unknown,5,10|12|14|15|16,persistence|persistence|persistence|persistence|persistence,persistence,1.0,5,0
reproduction,20260719__solver_normalized_uncertainty,unknown,5,10|12|14|15|16,persistence|power_law|power_law|local_linear|local_linear,local_linear,0.4,1,4
reproduction,20260719__solver_uncertainty,unknown,5,10|12|14|15|16,persistence|persistence|persistence|local_linear|local_linear,persistence,0.6,5,0
reproduction,20260719__uncertainty_gap,unknown,5,10|12|14|15|16,persistence|persistence|persistence|persistence|local_linear,persistence,0.8,4,1
reproduction,20260719__verifier_normalized_uncertainty,unknown,5,10|12|14|15|16,persistence|persistence|persistence|persistence|local_linear,persistence,0.8,4,2
reproduction,20260719__verifier_uncertainty,unknown,5,10|12|14|15|16,persistence|power_law|power_law|rank_1|power_law,power_law,0.6,0,3
reproduction,20260720__normalized_uncertainty_gap,unknown,5,10|12|14|15|16,persistence|rank_1|persistence|power_law|persistence,persistence,0.6,1,3
reproduction,20260720__solver_normalized_uncertainty,unknown,5,10|12|14|15|16,persistence|power_law|persistence|persistence|power_law,persistence,0.6,1,4
reproduction,20260720__solver_uncertainty,unknown,5,10|12|14|15|16,power_law|persistence|persistence|persistence|persistence,persistence,0.8,1,5
reproduction,20260720__uncertainty_gap,unknown,5,10|12|14|15|16,power_law|persistence|persistence|persistence|persistence,persistence,0.8,4,1
reproduction,20260720__verifier_normalized_uncertainty,unknown,5,10|12|14|15|16,power_law|persistence|persistence|rank_1|power_law,persistence,0.4,1,4
