source,model,cases,wins,win_fraction,beats_persistence_fraction,median_nrmse,median_mse_ratio_to_persistence
published,local_linear,60,4,0.06666666666666667,0.7833333333333333,0.03821232981843458,0.3566956268654008
published,persistence,60,0,0.0,0.0,0.059588801295768164,1.0
published,power_law,60,27,0.45,1.0,0.008628415743898304,0.020469246370237566
published,rank_1,60,13,0.21666666666666667,0.8666666666666667,0.016018273351828947,0.0784586089952593
published,rank_2,60,16,0.26666666666666666,1.0,0.011266039857121749,0.043585408873386314
reproduction,local_linear,90,10,0.1111111111111111,0.2,0.40588219226032174,2.667255539237063
reproduction,persistence,90,52,0.5777777777777777,0.0,0.19376556026742459,1.0
reproduction,power_law,90,13,0.14444444444444443,0.26666666666666666,0.34700221816459254,1.9176196393816036
reproduction,rank_1,90,8,0.08888888888888889,0.24444444444444444,0.37134287709045255,1.9364334817333348
reproduction,rank_2,90,7,0.07777777777777778,0.17777777777777778,0.3249205361583064,2.1053923805064816
synthetic_1pct,local_linear,2000,225,0.1125,0.3965,0.03404148485072585,1.5112659973573686
synthetic_1pct,persistence,2000,232,0.116,0.0,0.025908252888352565,1.0
synthetic_1pct,power_law,2000,451,0.2255,0.6595,0.01943077303443813,0.5602899629306046
synthetic_1pct,rank_1,2000,326,0.163,0.427,0.029618067496935956,1.2950329171128976
synthetic_1pct,rank_2,2000,766,0.383,0.7555,0.015200056103521795,0.4174924515998454
synthetic_exact,local_linear,10,0,0.0,0.8,0.0006624570120351311,0.17569964995855655
synthetic_exact,persistence,10,5,0.5,0.0,0.0011184154564266085,1.0
synthetic_exact,power_law,10,0,0.0,0.4,0.0018014821851147708,872993894.1995615
synthetic_exact,rank_1,10,0,0.0,0.5,0.01869628140194507,8.803937314806475
synthetic_exact,rank_2,10,5,0.5,1.0,4.10299619048781e-17,1.0870971929900732e-19
