panel,series,checkpoint,epoch,svg_x,svg_y,affine_uncertainty
math_qe,solver,1,0.5,76.523403,39.429593,0.9545413037368398
math_qe,solver,2,1.0,90.393897,86.021018,0.7861013044539623
math_qe,solver,3,1.5,104.264392,114.05907,0.6847365263049083
math_qe,solver,4,2.0,118.134887,139.379403,0.5931970021894253
math_qe,solver,5,2.5,132.005382,160.704671,0.5161006668309946
math_qe,solver,6,3.0,145.875877,177.101277,0.45682271379818595
math_qe,solver,7,3.5,159.746372,190.641515,0.4078712666378987
math_qe,solver,8,4.0,173.616866,202.289978,0.36575907325968315
math_qe,solver,9,4.5,187.487361,213.314404,0.3259029343342449
math_qe,solver,10,5.0,201.357856,219.755301,0.3026174330631185
math_qe,solver,11,5.5,215.228351,226.835482,0.2770207555079108
math_qe,solver,12,6.0,229.098846,232.263194,0.2573981789203163
math_qe,solver,13,6.5,242.969341,236.844911,0.2408340921126184
math_qe,solver,14,7.0,256.839835,241.825323,0.2228286202106872
math_qe,solver,15,7.5,270.71033,244.611547,0.21275570296117322
math_qe,solver,16,8.0,284.580825,249.360631,0.19558654134926012
math_qe,solver,17,8.5,298.45132,251.930274,0.18629662018721693
math_qe,solver,18,9.0,312.321815,254.394081,0.17738932341934283
math_qe,solver,19,9.5,326.19231,257.597257,0.1658090173191767
math_qe,solver,20,10.0,340.062804,259.958487,0.15727256282123622
math_qe,verifier,1,0.5,76.523403,195.552625,0.3901163393121486
math_qe,verifier,2,1.0,90.393897,205.710009,0.35339478049148765
math_qe,verifier,3,1.5,104.264392,214.019033,0.3233555190479621
math_qe,verifier,4,2.0,118.134887,222.629719,0.29222567179248365
math_qe,verifier,5,2.5,132.005382,230.195289,0.26487418800819157
math_qe,verifier,6,3.0,145.875877,235.337182,0.24628492070776806
math_qe,verifier,7,3.5,159.746372,241.09391,0.225472866554204
math_qe,verifier,8,4.0,173.616866,246.575928,0.20565395979209652
math_qe,verifier,9,4.5,187.487361,251.444067,0.18805438369694713
math_qe,verifier,10,5.0,201.357856,255.115741,0.1747803366823524
math_qe,verifier,11,5.5,215.228351,258.501196,0.16254104505793415
math_qe,verifier,12,6.0,229.098846,262.02393,0.14980545449735846
math_qe,verifier,13,6.5,242.969341,264.570418,0.14059924462303378
math_qe,verifier,14,7.0,256.839835,267.37477,0.13046078998532018
math_qe,verifier,15,7.5,270.71033,269.664057,0.12218442795865322
math_qe,verifier,16,8.0,284.580825,272.372235,0.11239366709701612
math_qe,verifier,17,8.5,298.45132,273.921276,0.10679348498348029
