run_id,seed,window,point_count,one_mode_bic,two_mode_bic,two_mode_delta_bic,selected_modes,one_mode_tau,two_mode_weight,two_mode_tau_fast,two_mode_tau_slow,hankel_singular_1,hankel_singular_2,hankel_singular_3
confirm-seed20260800,20260800,full_tail,106,-388.85679789080564,-379.52991971331045,-9.326878177495189,1,4496.544514090563,0.850373080457064,4496.589863502186,4496.604109125499,1.0,0.05577291666769919,0.015712177243586686
confirm-seed20260800,20260800,local_5_95,100,-396.12333638752574,-386.9129959522395,-9.210340435286241,1,5115.499080036962,0.5320181633461744,5115.3844666588475,5115.688243839839,1.0,0.05311023085012155,0.015209730045234482
confirm-seed20260801,20260801,full_tail,106,-381.08410256814136,-371.7572243196944,-9.326878248446974,1,3876.8631248339275,0.7641350833488586,3876.7649922746164,3877.1367478469956,1.0,0.058783923771249476,0.02023693355059801
confirm-seed20260801,20260801,local_5_95,94,-380.6662767044145,-371.57968710878447,-9.086589595630016,1,4862.1877182767785,0.25473114167928373,4861.855464918087,4862.23304864976,1.0,0.05425418121338568,0.019328095040060292
confirm-seed20260802,20260802,full_tail,293,-1150.2254100784714,-1138.8650648070472,-11.360345271424194,1,19385.38628142747,0.8163927442281856,19385.182753550085,19386.769096278844,1.0,0.02503276886728098,0.0090166642850252
confirm-seed20260802,20260802,local_5_95,288,-1206.005160053106,-1194.6792389132488,-11.3259211398572,1,20951.210438580983,0.5147677591441702,20950.76656687862,20952.468648308066,1.0,0.024080124661168587,0.00854411509358796
confirm-seed20260803,20260803,full_tail,129,-488.68025658748115,-478.9606315769358,-9.719625010545371,1,6293.852120975769,0.18134170415716835,6292.888935578641,6294.115345711434,1.0,0.05158560064323081,0.012663415321038684
confirm-seed20260803,20260803,local_5_95,120,-518.5226669641021,-508.9476834704031,-9.574983493698994,1,7903.073132926376,0.7621969851223406,7902.986180841114,7903.353689331171,1.0,0.043821933085939804,0.01170735813412397
confirm-seed20260804,20260804,full_tail,258,-945.9824760330484,-934.8765565231043,-11.105919509944101,1,17073.722122560677,0.8429958712037077,17070.181089017573,17074.399431602887,1.0,0.028107662215673766,0.007962567279181426
confirm-seed20260804,20260804,local_5_95,248,-1050.0058408271188,-1038.9789831767198,-11.026857650399052,1,20681.792554928597,0.20792858366745692,20681.338383898645,20684.493870856593,1.0,0.022190338529062853,0.006395527870519638
confirm-seed20260805,20260805,full_tail,130,-471.5613206123475,-461.82625096077226,-9.735069651575259,1,6188.13016091891,0.9758591565868763,6187.961854024628,6194.286168222331,1.0,0.050954084279235944,0.012640750208851984
confirm-seed20260805,20260805,local_5_95,117,-509.7398930558123,-500.21554518663487,-9.524347869177404,1,8698.4182856109,0.9999986877466199,8698.461171315988,8779.01420807973,1.0,0.04197680862485863,0.010523307866173219
