run_id,seed,modulus,train_fraction,weight_decay,learning_rate,max_steps,eval_every,batch_size,d_model,heads,layers,ff_width,threads,stage,train_count,test_count,completed_steps,elapsed_seconds,train_fit_step,test_half_step,test_ninety_step,final_train_accuracy,final_test_accuracy,final_test_loss,delayed_generalization
pilot-f0.30-wd1,20260720,67,0.3,1.0,0.001,30000,50,512,64,4,1,256,2,pilot,1347,3142,10050,113.66358430100001,400,8000,9600,1.0,1.0,0.003763434463515546,True
pilot-f0.40-wd0.1,20260723,67,0.4,0.1,0.001,30000,50,512,64,4,1,256,2,pilot,1796,2693,10600,119.856207495,350,2150,7350,1.0,0.9974006683995544,0.012002085647837982,True
pilot-f0.40-wd1,20260721,67,0.4,1.0,0.001,30000,50,512,64,4,1,256,2,pilot,1796,2693,1600,21.695652131000003,500,800,1200,1.0,0.9992573338284441,0.014874543127321284,True
pilot-f0.50-wd1,20260722,67,0.5,1.0,0.001,30000,50,512,64,4,1,256,2,pilot,2244,2245,700,12.004382732999993,400,300,400,1.0,1.0,0.047992332475488064,False
confirm-seed20260800,20260800,67,0.3,1.0,0.001,30000,50,512,64,4,1,256,2,confirmation,1347,3142,5550,97.28115082100001,400,4300,4900,1.0,0.9993634627625716,0.03488965098225031,True
confirm-seed20260801,20260801,67,0.3,1.0,0.001,30000,50,512,64,4,1,256,2,confirmation,1347,3142,5550,92.502469161,400,3900,4650,1.0,1.0,0.013478723777319351,True
confirm-seed20260802,20260802,67,0.3,1.0,0.001,30000,50,512,64,4,1,256,2,confirmation,1347,3142,15150,235.909276812,400,13450,14500,1.0,0.9955442393380013,0.07484368045644195,True
confirm-seed20260803,20260803,67,0.3,1.0,0.001,30000,50,512,64,4,1,256,2,confirmation,1347,3142,6600,115.00374308500002,400,4950,6050,1.0,0.9980903882877148,0.01465323865223963,True
confirm-seed20260804,20260804,67,0.3,1.0,0.001,30000,50,512,64,4,1,256,2,confirmation,1347,3142,13650,175.993836299,400,11800,13050,1.0,1.0,0.02502364310999724,True
confirm-seed20260805,20260805,67,0.3,1.0,0.001,30000,50,512,64,4,1,256,2,confirmation,1347,3142,6700,101.33715297100002,350,5100,6050,1.0,1.0,0.010735921841529734,True
