run_id,seed,model,fit_log_likelihood,heldout_checkpoint_log_likelihood,heldout_checkpoint_rmse,bic,binomial_bic_descriptive,p0,p1,tau,width,tau1,width1,tau2,width2,mixing
confirm-seed20260800,20260800,delta,-186054.9294795598,-94322.23563578681,0.13192649560331612,-455.80280582324366,372148.1723001899,0.2382832738738472,0.8265680850022034,4300.0,0.0,,,,,
confirm-seed20260800,20260800,logistic,-174289.3886616053,-87431.53530380904,0.06779930943080521,-591.6440843089123,348629.86177797103,0.18313609133284542,0.999999750119511,4278.603203444071,415.27670175834106,,,,,
confirm-seed20260800,20260800,mixture,-170447.60693957502,-85653.48487259785,0.04639054856585534,-687.6855888202424,340984.61167498084,3.059022269256247e-07,0.9999996940978666,3438.593907316564,nan,970.8170985333718,671.2197592241223,4492.6668298426,271.4145541975473,0.29929525759016123
confirm-seed20260801,20260801,delta,-182027.00791041367,-91403.1852713726,0.12335938385587356,-456.742496879212,364092.32916189765,0.26600516718463324,0.9013367281985997,4250.0,0.0,,,,,
confirm-seed20260801,20260801,logistic,-170787.36192273465,-85467.81370342574,0.07121237213352939,-572.0614414897302,341625.8083002297,0.20232291526987684,0.9999997559888032,4059.27097129224,375.7703026737756,,,,,
confirm-seed20260801,20260801,mixture,-166434.95469957156,-83349.87660538808,0.047147053265825516,-650.6610583291168,332959.3071949739,4.555410266213483e-07,0.9999996940979123,3225.0618126534127,nan,553.8280485823933,228.23949475135663,4187.273129542209,295.97683453997996,0.26482065792903564
confirm-seed20260802,20260802,delta,-451214.28318309266,-227039.69404879079,0.12099739889566023,-1261.2223560505045,902469.875293746,0.1630855279064833,0.6792613400492624,12900.0,0.0,,,,,
confirm-seed20260802,20260802,logistic,-420494.685024965,-211077.61568326026,0.06659616874308802,-1629.345031903453,841044.4486200109,0.09812984490535062,0.9999997241159111,13115.67095604609,1526.3729851988662,,,,,
confirm-seed20260802,20260802,mixture,-410989.9499644234,-207418.68067453464,0.042770705048174935,-1986.3864252908252,822076.2874264882,0.06822651757329454,0.9999997149684167,12421.818135125002,nan,10028.225976949307,2061.142175896685,14042.220725046782,289.3266817957337,0.40368826857329754
confirm-seed20260803,20260803,delta,-241903.94975405146,-120598.40803996213,0.11025878399711302,-575.9778068047475,483846.728399944,0.3210957615795299,0.8965626989178866,5550.0,0.0,,,,,
confirm-seed20260803,20260803,logistic,-233288.91925542988,-115921.03532972904,0.06347368370311529,-697.2051504202857,466629.6103666479,0.27816894126261454,0.9999997791902717,5363.513777529128,362.1288246395269,,,,,
confirm-seed20260803,20260803,mixture,-229021.5277592425,-113999.62472334526,0.03911942713512785,-811.5665141661494,458133.65626611427,1.3523592393234857e-06,0.9999996940981867,3861.335399011125,nan,298.0090485597344,85.84357311029362,5424.130633516576,321.15729848520726,0.3048689362132265
confirm-seed20260804,20260804,delta,-371342.5217518616,-185490.90529426222,0.11929230708101304,-1169.5232518771636,742726.0407324989,0.13391047895952568,0.6855647499823184,11450.0,0.0,,,,,
confirm-seed20260804,20260804,logistic,-344283.57915155275,-171389.5292832225,0.05068596786606664,-1585.020840801092,688621.8212748063,0.09437529999986041,0.9999997229673875,11832.281218752585,945.6323876173766,,,,,
confirm-seed20260804,20260804,mixture,-338205.91089068854,-168213.35592134274,0.030321332704406,-1792.60324275914,676507.4819818535,0.06845263164476452,0.9999997150375854,11419.035282996669,nan,9355.395919369777,1499.9348796629963,12483.450514872413,327.80254358144475,0.34028026026339486
confirm-seed20260805,20260805,delta,-237341.42603655078,-118110.49264667151,0.10587682503537058,-590.189368422685,474721.72574189334,0.28636442054290084,0.8576088933345458,5350.0,0.0,,,,,
confirm-seed20260805,20260805,logistic,-226692.09946108886,-113050.2473721786,0.06162036004237933,-739.0728103503598,453436.0304805667,0.2541917222253128,0.9999997718555871,5368.506617158042,348.24570534513373,,,,,
confirm-seed20260805,20260805,mixture,-222608.24473110356,-111221.14689376156,0.038608242396650914,-888.7240160097705,445307.1946893879,4.046037619970751e-07,0.9999996940978968,3995.424419470408,nan,323.99866329374674,95.02194345610793,5416.68503587378,319.4275959014823,0.27907876362771966
