condition,step,epoch_equivalent,available_source_bits,information_lower_bound_bits,information_ci_low,information_ci_high,information_increment_proxy_bits,code_accuracy,code_loss_nats
closed,0,0.0,16,-0.8402331759741786,-2.0509648414585353,0.7775771154822433,0.0,0.55078125,3.631930112838745
closed,1,0.25,16,0.3288992794232908,-0.4436983336913381,1.151632331210747,1.1691324553974694,0.54296875,3.122689962387085
closed,2,0.5,16,0.6604277291882605,0.06493784351685485,1.5175053019872173,0.33152844976496976,0.56640625,2.87856388092041
closed,4,1.0,16,0.5725483276634522,0.15723301253379116,1.2823989974195948,-0.08787940152480833,0.56640625,2.5955166816711426
closed,8,2.0,16,0.5829070472855533,0.06943200549861747,1.3117976156866873,0.010358719622101109,0.56640625,1.9768186807632446
closed,16,4.0,16,0.690001344356533,0.24952488242013734,1.5813756301077562,0.10709429707097973,0.56640625,1.1450525522232056
closed,32,8.0,16,0.6931696132599142,0.1232248933026024,1.4056953747526437,0.0031682689033811773,0.5625,0.7359194755554199
closed,64,16.0,16,0.8337008600577571,-2.172264793897937,4.857843853079633,0.1405312467978429,0.65625,0.5612024068832397
closed,128,32.0,16,8.782300087976616,6.902514406761849,10.803224517630177,7.948599227918859,0.73828125,0.030621174722909927
open,0,0.0,16,-0.8402331759741786,-2.672207296330053,0.2744765431565622,0.0,0.55078125,3.631930112838745
open,1,0.25,16,-0.014354884412116797,-0.6257419009911792,0.88261677199539,0.8258782915620617,0.52734375,3.1426339149475098
open,2,0.5,16,0.3177864660199503,-0.25631930277519743,1.0951777656009618,0.3321413504320671,0.52734375,2.910128355026245
open,4,1.0,16,0.4291612526430544,-0.1320899491326536,1.2470065328065654,0.11137478662310407,0.55078125,2.6099534034729004
open,8,2.0,16,0.6650868619849588,0.031205669268698756,0.9987048866840442,0.23592560934190443,0.55078125,2.007782459259033
open,16,4.0,16,0.6107661882652666,0.015533603561862987,1.8109790471770517,-0.05432067371969218,0.55078125,1.1883258819580078
open,32,8.0,17,0.3182655917903322,0.05528839611159952,0.806256572280353,-0.2925005964749344,0.55078125,0.7562004327774048
open,64,16.0,19,6.15011954954848,4.265146318691486,8.83223814049471,5.831853957758147,0.71875,0.40106505155563354
open,128,32.0,22,11.389408945745354,8.872985968778593,13.711848995761136,5.239289396196874,0.83203125,0.03177308291196823
