condition,step,epoch_equivalent,available_source_bits,information_lower_bound_bits,information_ci_low,information_ci_high,information_increment_proxy_bits,code_accuracy,code_loss_nats
closed,0,0.0,16,-0.25804330533154496,-0.5476185634451805,0.037720098874873556,0.0,0.505859375,3.6303114891052246
closed,1,0.25,16,0.3293286914093614,0.10236248442335538,0.5921705326958495,0.5873719967409063,0.564453125,3.1393747329711914
closed,2,0.5,16,0.39591983763595434,0.205592933452918,0.6306477935660896,0.06659114622659296,0.576171875,2.8974618911743164
closed,4,1.0,16,0.40392427115785373,0.15328171100144716,0.7246613438245698,0.00800443352189939,0.572265625,2.6020708084106445
closed,8,2.0,16,0.4609421488343687,0.27135930785668644,0.7649962437497013,0.05701787767651495,0.580078125,1.9835642576217651
closed,16,4.0,16,0.6004487836465865,0.29603894998863156,0.9687617209586402,0.1395066348122178,0.595703125,1.1573474407196045
closed,32,8.0,16,0.4935240721029015,0.26674112286352397,0.7379913695869563,-0.10692471154368499,0.587890625,0.7591831088066101
closed,64,16.0,16,5.161585941118375,3.8732121151159156,6.158936589000941,4.668061869015474,0.84765625,0.4964902102947235
closed,128,32.0,16,11.916008228466083,11.520981868323714,12.19960445657828,6.754422287347708,1.0,0.01856048032641411
closed,192,48.0,16,11.92187816772672,11.780507667453236,12.00292820961216,0.005869939260636059,1.0,0.006315814331173897
closed,256,64.0,16,11.887552347263085,11.764162535334355,11.999503187574826,-0.03432582046363386,1.0,0.004001461435109377
closed,320,80.0,16,12.023548017271073,11.886756318273337,12.112945522083324,0.13599567000798807,1.0,0.00279084499925375
closed,400,100.0,16,11.980796624240277,11.896095511033563,12.0581697514008,-0.042751393030796336,1.0,0.0020222808234393597
open,0,0.0,16,-0.25804330533154496,-0.5282259459803216,-0.013085718461715995,0.0,0.505859375,3.6303114891052246
open,1,0.25,16,0.07830329766624672,-0.06809689295921165,0.292973537603246,0.3363466029977917,0.53515625,3.174028158187866
open,2,0.5,16,0.29770619674415066,0.11061754611862072,0.5061966112222344,0.21940289907790395,0.55859375,2.9287109375
open,4,1.0,16,0.32535790123139885,0.1701836961500638,0.5172876411622636,0.027651704487248185,0.56640625,2.592566728591919
open,8,2.0,16,0.4269901951013425,0.21959520201733818,0.6251036997931814,0.10163229386994366,0.595703125,2.0048155784606934
open,16,4.0,16,0.6238535780443604,0.39796534267475503,0.8764730487501814,0.19686338294301786,0.599609375,1.1781818866729736
open,32,8.0,17,0.6699638082093999,0.32526421213908796,1.0102287266626582,0.04611023016503957,0.6011029411764706,0.7567702531814575
open,64,16.0,19,9.11835341793428,7.531239022069561,10.790084410633554,8.448389609724881,0.868421052631579,0.40416228771209717
open,128,32.0,22,16.879682951911583,16.09537843726905,17.8444377330956,7.761329533977303,0.984375,0.07387925684452057
open,192,48.0,25,21.743093807393432,21.22707727381572,22.295194226215138,4.863410855481849,0.99875,0.0346154049038887
open,256,64.0,28,26.0516594266769,25.743898035257544,26.4296286328836,4.308565619283467,0.9988839285714286,0.010186811909079552
open,320,80.0,31,30.12013408836107,29.764116083147503,30.42489243463349,4.068474661684171,0.997983870967742,0.016078323125839233
open,400,100.0,32,31.99904901823792,31.997242946406974,31.999970955722446,1.8789149298768493,1.0,0.003449253272265196
