tag,rho,problems,initial_fitness,terminal_fitness,fitness_gain,terminal_accuracy
ADVANCED,-6.0,1,0.271875,0.0,-0.271875,0.0
ADVANCED,-2.0,1,0.271875,0.21562499999999998,-0.056249999999999994,0.0
ADVANCED,0.0,1,0.271875,0.14375,-0.128125,0.0
ADVANCED,2.0,1,0.271875,0.4125,0.140625,0.0
ADVANCED,6.0,1,0.271875,0.4125,0.140625,0.0
ELECTRICITY,-6.0,10,0.10429143772893772,0.045064926016012974,-0.05922651171292474,0.0
ELECTRICITY,-2.0,10,0.10429143772893772,0.07733017887909191,-0.026961258849845807,0.05
ELECTRICITY,0.0,10,0.10429143772893772,0.11116331585081585,0.0068718781218781305,0.0125
ELECTRICITY,2.0,10,0.10429143772893772,0.32996638777888776,0.22567495004995003,0.25
ELECTRICITY,6.0,10,0.10429143772893772,0.303822615337561,0.19953117760862327,0.15
MECHANICS,-6.0,13,0.06592057638652907,0.026504196996524357,-0.03941637939000471,0.0
MECHANICS,-2.0,13,0.06592057638652907,0.07626901524519811,0.01034843885866904,0.0
MECHANICS,0.0,13,0.06592057638652907,0.11519746770705849,0.049276891320529426,0.0
MECHANICS,2.0,13,0.06592057638652907,0.13834821268884567,0.0724276363023166,0.0
MECHANICS,6.0,13,0.06592057638652907,0.15510180010739472,0.08918122372086565,0.0
MODERN,-6.0,1,0.024324324324324326,0.0,-0.024324324324324326,0.0
MODERN,-2.0,1,0.024324324324324326,0.03378378378378378,0.009459459459459453,0.0
MODERN,0.0,1,0.024324324324324326,0.0,-0.024324324324324326,0.0
MODERN,2.0,1,0.024324324324324326,0.20405405405405408,0.17972972972972975,0.0
MODERN,6.0,1,0.024324324324324326,0.11891891891891893,0.0945945945945946,0.0
OPTICS,-6.0,2,0.06093749999999999,0.0,-0.06093749999999999,0.0
OPTICS,-2.0,2,0.06093749999999999,0.014583333333333323,-0.04635416666666667,0.0
OPTICS,0.0,2,0.06093749999999999,0.006249999999999999,-0.05468749999999999,0.0
OPTICS,2.0,2,0.06093749999999999,0.0234375,-0.03749999999999999,0.0
OPTICS,6.0,2,0.06093749999999999,0.09687499999999999,0.0359375,0.0
THERMODYNAMICS,-6.0,4,0.0007812500000000007,0.0,-0.0007812500000000007,0.0
THERMODYNAMICS,-2.0,4,0.0007812500000000007,0.0,-0.0007812500000000007,0.0
THERMODYNAMICS,0.0,4,0.0007812500000000007,0.0,-0.0007812500000000007,0.0
THERMODYNAMICS,2.0,4,0.0007812500000000007,0.0625,0.06171875,0.0625
THERMODYNAMICS,6.0,4,0.0007812500000000007,0.05096153846153846,0.050180288461538464,0.0
