rho,round,n,mean_accuracy_mean,mean_accuracy_se,pass_at_4_mean,pass_at_4_se,distinct_fraction_mean,distinct_fraction_se,effective_answers_mean,effective_answers_se,invalid_fraction_mean,invalid_fraction_se,regressions,recoveries
-6.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.4,0.12747548783981963,0.0,0.0
-6.0,1,5,0.0,0.0,0.0,0.0,0.7,0.049999999999999996,2.533333333333333,0.1333333333333333,0.1,0.06123724356957944,0.0,0.0
-6.0,2,5,0.0,0.0,0.0,0.0,0.65,0.06123724356957944,2.32,0.22150996967781528,0.05,0.049999999999999996,0.0,0.0
-6.0,3,5,0.0,0.0,0.0,0.0,0.75,0.07905694150420949,2.7199999999999998,0.38087618285561864,0.3,0.1457737973711325,0.0,0.0
-2.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.4,0.12747548783981963,0.0,0.0
-2.0,1,5,0.0,0.0,0.0,0.0,0.55,0.09354143466934853,1.9866666666666668,0.31999999999999995,0.05,0.049999999999999996,0.0,0.0
-2.0,2,5,0.0,0.0,0.0,0.0,0.6,0.06123724356957944,2.1866666666666665,0.2091251618847749,0.15,0.09999999999999999,0.0,0.0
-2.0,3,5,0.0,0.0,0.0,0.0,0.7,0.049999999999999996,2.533333333333333,0.1333333333333333,0.25,0.07905694150420949,0.0,0.0
0.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.4,0.12747548783981963,0.0,0.0
0.0,1,5,0.0,0.0,0.0,0.0,0.75,0.0,2.6666666666666665,0.0,0.4,0.16955824957813168,0.0,0.0
0.0,2,5,0.0,0.0,0.0,0.0,0.55,0.09354143466934853,1.9866666666666668,0.31999999999999995,0.35,0.18708286933869706,0.0,0.0
0.0,3,5,0.0,0.0,0.0,0.0,0.7,0.09354143466934853,2.506666666666667,0.4430199393556306,0.45,0.18371173070873836,0.0,0.0
2.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.4,0.12747548783981963,0.0,0.0
2.0,1,5,0.0,0.0,0.0,0.0,0.65,0.06123724356957944,2.32,0.22150996967781528,0.15,0.09999999999999999,0.0,0.0
2.0,2,5,0.0,0.0,0.0,0.0,0.7,0.09354143466934853,2.586666666666667,0.4079215610874227,0.2,0.12247448713915889,0.0,0.0
2.0,3,5,0.0,0.0,0.0,0.0,0.55,0.049999999999999996,2.0533333333333332,0.17178798302300163,0.1,0.09999999999999999,0.0,0.0
6.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.4,0.12747548783981963,0.0,0.0
6.0,1,5,0.0,0.0,0.0,0.0,0.7,0.049999999999999996,2.533333333333333,0.1333333333333333,0.25,0.11180339887498948,0.0,0.0
6.0,2,5,0.0,0.0,0.0,0.0,0.75,0.07905694150420949,2.8,0.32659863237109044,0.5,0.13693063937629152,0.0,0.0
6.0,3,5,0.0,0.0,0.0,0.0,0.6,0.06123724356957944,2.2666666666666666,0.16329931618554516,0.4,0.12747548783981963,0.0,0.0
