problem_id,tag,replicate,rho,round,population_size,mean_accuracy,pass_at_4,distinct_fraction,effective_answers,invalid_fraction,regressions,recoveries,candidate_ids
432,ELECTRICITY,0,-6.0,0,4,0.0,0,1.0,4.0,0.75,0,0,pilot-20260719-641ff5dc611b481a|pilot-20260719-fa12763a000649cd|pilot-20260719-9a33b3efa53747f3|pilot-20260719-24271123b7204dca
432,ELECTRICITY,0,-2.0,0,4,0.0,0,1.0,4.0,0.75,0,0,pilot-20260719-641ff5dc611b481a|pilot-20260719-fa12763a000649cd|pilot-20260719-9a33b3efa53747f3|pilot-20260719-24271123b7204dca
432,ELECTRICITY,0,0.0,0,4,0.0,0,1.0,4.0,0.75,0,0,pilot-20260719-641ff5dc611b481a|pilot-20260719-fa12763a000649cd|pilot-20260719-9a33b3efa53747f3|pilot-20260719-24271123b7204dca
432,ELECTRICITY,0,2.0,0,4,0.0,0,1.0,4.0,0.75,0,0,pilot-20260719-641ff5dc611b481a|pilot-20260719-fa12763a000649cd|pilot-20260719-9a33b3efa53747f3|pilot-20260719-24271123b7204dca
432,ELECTRICITY,0,6.0,0,4,0.0,0,1.0,4.0,0.75,0,0,pilot-20260719-641ff5dc611b481a|pilot-20260719-fa12763a000649cd|pilot-20260719-9a33b3efa53747f3|pilot-20260719-24271123b7204dca
688,ELECTRICITY,0,-6.0,0,4,0.0,0,1.0,4.0,0.5,0,0,pilot-20260719-1c7c47ca69dd4035|pilot-20260719-1b7b544f2c984ce1|pilot-20260719-fe6ae3eae2a84b74|pilot-20260719-de0cbd0019414d35
688,ELECTRICITY,0,-2.0,0,4,0.0,0,1.0,4.0,0.5,0,0,pilot-20260719-1c7c47ca69dd4035|pilot-20260719-1b7b544f2c984ce1|pilot-20260719-fe6ae3eae2a84b74|pilot-20260719-de0cbd0019414d35
688,ELECTRICITY,0,0.0,0,4,0.0,0,1.0,4.0,0.5,0,0,pilot-20260719-1c7c47ca69dd4035|pilot-20260719-1b7b544f2c984ce1|pilot-20260719-fe6ae3eae2a84b74|pilot-20260719-de0cbd0019414d35
688,ELECTRICITY,0,2.0,0,4,0.0,0,1.0,4.0,0.5,0,0,pilot-20260719-1c7c47ca69dd4035|pilot-20260719-1b7b544f2c984ce1|pilot-20260719-fe6ae3eae2a84b74|pilot-20260719-de0cbd0019414d35
688,ELECTRICITY,0,6.0,0,4,0.0,0,1.0,4.0,0.5,0,0,pilot-20260719-1c7c47ca69dd4035|pilot-20260719-1b7b544f2c984ce1|pilot-20260719-fe6ae3eae2a84b74|pilot-20260719-de0cbd0019414d35
36,MECHANICS,0,-6.0,0,4,0.0,0,1.0,4.0,0.0,0,0,pilot-20260719-f0906b789a8148d2|pilot-20260719-fd21a5c8c9a2432e|pilot-20260719-51990c9de0ea44ea|pilot-20260719-fdd3646a465048ce
36,MECHANICS,0,-2.0,0,4,0.0,0,1.0,4.0,0.0,0,0,pilot-20260719-f0906b789a8148d2|pilot-20260719-fd21a5c8c9a2432e|pilot-20260719-51990c9de0ea44ea|pilot-20260719-fdd3646a465048ce
36,MECHANICS,0,0.0,0,4,0.0,0,1.0,4.0,0.0,0,0,pilot-20260719-f0906b789a8148d2|pilot-20260719-fd21a5c8c9a2432e|pilot-20260719-51990c9de0ea44ea|pilot-20260719-fdd3646a465048ce
36,MECHANICS,0,2.0,0,4,0.0,0,1.0,4.0,0.0,0,0,pilot-20260719-f0906b789a8148d2|pilot-20260719-fd21a5c8c9a2432e|pilot-20260719-51990c9de0ea44ea|pilot-20260719-fdd3646a465048ce
