problem_id,tag,replicate,rho,round,population_size,mean_accuracy,mean_fitness,pass_at_4,distinct_fraction,effective_answers,invalid_fraction,regressions,recoveries,fitness_regressions,fitness_improvements,candidate_ids
432,ELECTRICITY,0,-6.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-9fefb69ae0ad4de3|pilot-eed-20260719-ba57bbab4fce4420|pilot-eed-20260719-aa1b068b549d4678|pilot-eed-20260719-e76abf7c0e6845cd
432,ELECTRICITY,0,-2.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-9fefb69ae0ad4de3|pilot-eed-20260719-ba57bbab4fce4420|pilot-eed-20260719-aa1b068b549d4678|pilot-eed-20260719-e76abf7c0e6845cd
432,ELECTRICITY,0,0.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-9fefb69ae0ad4de3|pilot-eed-20260719-ba57bbab4fce4420|pilot-eed-20260719-aa1b068b549d4678|pilot-eed-20260719-e76abf7c0e6845cd
432,ELECTRICITY,0,2.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-9fefb69ae0ad4de3|pilot-eed-20260719-ba57bbab4fce4420|pilot-eed-20260719-aa1b068b549d4678|pilot-eed-20260719-e76abf7c0e6845cd
432,ELECTRICITY,0,6.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-9fefb69ae0ad4de3|pilot-eed-20260719-ba57bbab4fce4420|pilot-eed-20260719-aa1b068b549d4678|pilot-eed-20260719-e76abf7c0e6845cd
688,ELECTRICITY,0,-6.0,0,4,0.0,0.06666666666666665,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-14bc0b6e6d4f4335|pilot-eed-20260719-e2c11d112b9f4cad|pilot-eed-20260719-3bc67ca5c58f4757|pilot-eed-20260719-d44102b801044aba
688,ELECTRICITY,0,-2.0,0,4,0.0,0.06666666666666665,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-14bc0b6e6d4f4335|pilot-eed-20260719-e2c11d112b9f4cad|pilot-eed-20260719-3bc67ca5c58f4757|pilot-eed-20260719-d44102b801044aba
688,ELECTRICITY,0,0.0,0,4,0.0,0.06666666666666665,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-14bc0b6e6d4f4335|pilot-eed-20260719-e2c11d112b9f4cad|pilot-eed-20260719-3bc67ca5c58f4757|pilot-eed-20260719-d44102b801044aba
688,ELECTRICITY,0,2.0,0,4,0.0,0.06666666666666665,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-14bc0b6e6d4f4335|pilot-eed-20260719-e2c11d112b9f4cad|pilot-eed-20260719-3bc67ca5c58f4757|pilot-eed-20260719-d44102b801044aba
688,ELECTRICITY,0,6.0,0,4,0.0,0.06666666666666665,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-14bc0b6e6d4f4335|pilot-eed-20260719-e2c11d112b9f4cad|pilot-eed-20260719-3bc67ca5c58f4757|pilot-eed-20260719-d44102b801044aba
36,MECHANICS,0,-6.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-42b1fe7795de46a2|pilot-eed-20260719-f17602c03f024843|pilot-eed-20260719-2fc66b07a6744db6|pilot-eed-20260719-93beaf78674444d3
36,MECHANICS,0,-2.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-42b1fe7795de46a2|pilot-eed-20260719-f17602c03f024843|pilot-eed-20260719-2fc66b07a6744db6|pilot-eed-20260719-93beaf78674444d3
36,MECHANICS,0,0.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-42b1fe7795de46a2|pilot-eed-20260719-f17602c03f024843|pilot-eed-20260719-2fc66b07a6744db6|pilot-eed-20260719-93beaf78674444d3
36,MECHANICS,0,2.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-42b1fe7795de46a2|pilot-eed-20260719-f17602c03f024843|pilot-eed-20260719-2fc66b07a6744db6|pilot-eed-20260719-93beaf78674444d3
36,MECHANICS,0,6.0,0,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,pilot-eed-20260719-42b1fe7795de46a2|pilot-eed-20260719-f17602c03f024843|pilot-eed-20260719-2fc66b07a6744db6|pilot-eed-20260719-93beaf78674444d3
