rho,round,n,mean_accuracy_mean,mean_accuracy_se,mean_fitness_mean,mean_fitness_se,pass_at_4_mean,pass_at_4_se,distinct_fraction_mean,distinct_fraction_se,effective_answers_mean,effective_answers_se,invalid_fraction_mean,invalid_fraction_se,regressions,recoveries,fitness_regressions,fitness_improvements
-6.0,0,5,0.0,0.0,0.013079406719806275,0.0062793176663201115,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.06123724356957944,0.0,0.0,0.0,0.0
-6.0,1,5,0.0,0.0,0.0062166616217670615,0.003454582218321839,0.0,0.0,0.7,0.049999999999999996,2.533333333333333,0.1333333333333333,0.1,0.09999999999999999,0.0,0.0,0.0,0.0
-6.0,2,5,0.0,0.0,0.005650623885918004,0.003634965303823425,0.0,0.0,0.65,0.06123724356957944,2.32,0.22150996967781528,0.05,0.049999999999999996,0.0,0.0,2.0,0.0
-6.0,3,5,0.0,0.0,0.004117647058823526,0.004117647058823525,0.0,0.0,0.7,0.049999999999999996,2.453333333333333,0.21333333333333326,0.0,0.0,0.0,0.0,0.0,1.0
-2.0,0,5,0.0,0.0,0.013079406719806275,0.0062793176663201115,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.06123724356957944,0.0,0.0,0.0,0.0
-2.0,1,5,0.0,0.0,0.018520835435374833,0.011777220009878138,0.0,0.0,0.55,0.09354143466934853,1.9866666666666668,0.31999999999999995,0.1,0.06123724356957944,0.0,0.0,3.0,2.0
-2.0,2,5,0.0,0.0,0.014425385934819896,0.012412126513329933,0.0,0.0,0.55,0.049999999999999996,2.0533333333333332,0.17178798302300163,0.2,0.12247448713915889,0.0,0.0,1.0,0.0
-2.0,3,5,0.0,0.0,0.02234419668381932,0.02095778662282537,0.0,0.0,0.65,0.06123724356957944,2.32,0.22150996967781528,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0,5,0.0,0.0,0.013079406719806275,0.0062793176663201115,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.06123724356957944,0.0,0.0,0.0,0.0
0.0,1,5,0.0,0.0,0.033663269767598286,0.01948915699930945,0.0,0.0,0.75,0.0,2.6666666666666665,0.0,0.1,0.09999999999999999,0.0,0.0,1.0,5.0
0.0,2,5,0.0,0.0,0.02801701812800591,0.016598775331959317,0.0,0.0,0.6,0.06123724356957944,2.1866666666666665,0.2091251618847749,0.0,0.0,0.0,0.0,6.0,1.0
0.0,3,5,0.0,0.0,0.051974237379342814,0.02814200759805588,0.0,0.0,0.65,0.06123724356957944,2.2399999999999998,0.26127890589687225,0.0,0.0,0.0,0.0,4.0,5.0
2.0,0,5,0.0,0.0,0.013079406719806275,0.0062793176663201115,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.06123724356957944,0.0,0.0,0.0,0.0
2.0,1,5,0.0,0.0,0.008074866310160429,0.0050096421085049705,0.0,0.0,0.65,0.06123724356957944,2.32,0.22150996967781528,0.0,0.0,0.0,0.0,2.0,1.0
2.0,2,5,0.0,0.0,0.00757575757575758,0.0075757575757575794,0.0,0.0,0.65,0.09999999999999999,2.3733333333333335,0.45097425400767366,0.0,0.0,0.0,0.0,1.0,1.0
2.0,3,5,0.0,0.0,0.0021212121212121236,0.0021212121212121236,0.0,0.0,0.6,0.06123724356957944,2.2666666666666666,0.16329931618554516,0.1,0.09999999999999999,0.0,0.0,3.0,0.0
6.0,0,5,0.0,0.0,0.013079406719806275,0.0062793176663201115,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.06123724356957944,0.0,0.0,0.0,0.0
6.0,1,5,0.0,0.0,0.028600881175797933,0.013247762114280411,0.0,0.0,0.7,0.049999999999999996,2.533333333333333,0.1333333333333333,0.15,0.09999999999999999,0.0,0.0,1.0,3.0
6.0,2,5,0.0,0.0,0.03272727272727272,0.020606060606060603,0.0,0.0,0.7,0.049999999999999996,2.533333333333333,0.1333333333333333,0.1,0.06123724356957944,0.0,0.0,2.0,2.0
6.0,3,5,0.0,0.0,0.025151515151515154,0.02123159279467074,0.0,0.0,0.65,0.06123724356957944,2.32,0.22150996967781528,0.1,0.09999999999999999,0.0,0.0,4.0,2.0
