replicate,arm,round,entropy,coverage,unique_fraction,quality,population_fraction
0,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
0,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
0,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
0,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
1,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
1,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
1,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
1,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
2,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
2,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
2,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
2,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
3,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
3,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
3,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
3,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
4,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
4,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
4,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
4,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
5,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
5,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
5,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
5,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
6,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
6,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
6,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
6,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
7,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
7,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
7,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
7,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
8,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
8,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
